    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1452.664130   -1452.664118   -1452.664167      30.747990      31.188000       7.949165       0.007530      -0.023218
  100.000   -1452.664130   -1452.661014   -1452.675437      90.505767      90.505000      29.636165       1.955321      -7.095256
  200.000   -1452.664130   -1452.654852   -1452.692017     116.607046     116.608000      47.110165       5.822038     -17.499371
  300.000   -1452.664130   -1452.646185   -1452.712384     138.468448     138.469000      61.134165      11.260667     -30.279868
  400.000   -1452.664130   -1452.635527   -1452.736008     157.632081     157.632000      72.138165      17.948669     -45.104164
  500.000   -1452.664130   -1452.623336   -1452.762512     174.668664     174.668000      80.460165      25.598643     -61.735689
  600.000   -1452.664130   -1452.609998   -1452.791583     189.910672     189.911000      86.621165      33.968371     -79.978032
  700.000   -1452.664130   -1452.595813   -1452.822959     203.623409     203.623000      91.176165      42.869601     -99.666786
  800.000   -1452.664130   -1452.580999   -1452.856413     216.031299     216.031000      94.578165      52.165534    -120.659505
  900.000   -1452.664130   -1452.565713   -1452.891753     227.325956     227.326000      97.156165      61.757652    -142.835709
 1000.000   -1452.664130   -1452.550065   -1452.928816     237.670040     237.670000      99.141165      71.576928    -166.093112
 1100.000   -1452.664130   -1452.534137   -1452.967460     247.195014     247.195000     100.694165      81.571907    -190.342608
 1200.000   -1452.664130   -1452.517988   -1453.007564     256.011530     256.011000     101.928165      91.705566    -215.508269
 1300.000   -1452.664130   -1452.501663   -1453.049023     264.210672     264.210000     102.921165     101.949667    -241.524206
 1400.000   -1452.664130   -1452.485195   -1453.091745     271.868707     271.868000     103.731165     112.283502    -268.332689
 1500.000   -1452.664130   -1452.468609   -1453.135648     279.049095     279.049000     104.399165     122.691383    -295.882260
 1600.000   -1452.664130   -1452.451927   -1453.180661     285.804920     285.805000     104.956165     133.159505    -324.128368
 1700.000   -1452.664130   -1452.435162   -1453.226719     292.182314     292.182000     105.425165     143.679710    -353.030223
 1800.000   -1452.664130   -1452.418329   -1453.273767     298.219944     298.220000     105.823165     154.242586    -382.553314
 1900.000   -1452.664130   -1452.401438   -1453.321752     303.950652     303.950000     106.163165     164.841857    -412.664381
 2000.000   -1452.664130   -1452.384495   -1453.370627     309.403846     309.404000     106.456165     175.473759    -443.333932
