    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1264.066007   -1264.065994   -1264.066042      30.120480      29.963000       7.949165       0.008158      -0.021963
  100.000   -1264.066007   -1264.063153   -1264.077118      87.631771      87.632000      25.952165       1.790914      -6.972264
  200.000   -1264.066007   -1264.057806   -1264.092961     110.300570     110.300000      40.667165       5.146210     -16.913905
  300.000   -1264.066007   -1264.050360   -1264.112074     129.087174     129.086000      52.316165       9.818649     -28.907503
  400.000   -1264.066007   -1264.041266   -1264.133976     145.441130     145.441000      61.427165      15.525225     -42.651227
  500.000   -1264.066007   -1264.030901   -1264.158330     159.925944     159.925000      68.311165      22.029366     -57.933606
  600.000   -1264.066007   -1264.019590   -1264.184864     172.851813     172.852000      73.381165      29.127132     -74.583956
  700.000   -1264.066007   -1264.007585   -1264.213351     184.457461     184.458000      77.101165      36.660389     -92.459833
  800.000   -1264.066007   -1263.995068   -1264.243595     194.941472     194.942000      79.855165      44.514932    -111.438246
  900.000   -1264.066007   -1263.982169   -1264.275432     204.472739     204.473000      81.926165      52.609183    -131.416282
 1000.000   -1264.066007   -1263.968982   -1264.308722     213.190247     213.190000      83.510165      60.884158    -152.306090
 1100.000   -1264.066007   -1263.955571   -1264.343343     221.209825     221.210000      84.741165      69.299694    -174.031113
 1200.000   -1264.066007   -1263.941987   -1264.379194     228.626470     228.626000      85.714165      77.823790    -196.527974
 1300.000   -1264.066007   -1263.928263   -1264.416183     235.518984     235.519000      86.493165      86.435737    -219.738942
 1400.000   -1264.066007   -1263.914427   -1264.454234     241.953065     241.953000      87.127165      95.117966    -243.616325
 1500.000   -1264.066007   -1263.900500   -1264.493277     247.982330     247.982000      87.647165     103.857298    -268.116198
 1600.000   -1264.066007   -1263.886497   -1264.533252     253.653269     253.653000      88.080165     112.644320    -293.200910
 1700.000   -1264.066007   -1263.872431   -1264.574104     259.004014     259.004000      88.443165     121.470876    -318.835948
 1800.000   -1264.066007   -1263.858311   -1264.615786     264.068410     264.068000      88.751165     130.331317    -344.991820
 1900.000   -1264.066007   -1263.844146   -1264.658255     268.874494     268.874000      89.014165     139.219996    -371.641542
 2000.000   -1264.066007   -1263.829942   -1264.701470     273.446268     273.446000      89.240165     148.133148    -398.759387
