    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1364.609897   -1364.609884   -1364.609932      30.120480      30.320000       7.949165       0.008158      -0.021963
  100.000   -1364.609897   -1364.607022   -1364.620841      86.715607      86.720000      27.197165       1.804091      -6.867469
  200.000   -1364.609897   -1364.601360   -1364.636644     110.705314     110.706000      43.209165       5.357053     -16.784010
  300.000   -1364.609897   -1364.593426   -1364.655920     130.718700     130.718000      55.921165      10.335717     -28.879893
  400.000   -1364.609897   -1364.583666   -1364.678177     148.266494     148.267000      66.171165      16.460215     -42.846383
  500.000   -1364.609897   -1364.572460   -1364.703076     163.925692     163.925000      74.095165      23.492092     -58.470754
  600.000   -1364.609897   -1364.560156   -1364.730339     177.985891     177.986000      80.035165      31.212975     -75.578559
  700.000   -1364.609897   -1364.547031   -1364.759730     190.672499     190.672000      84.469165      39.449044     -94.021706
  800.000   -1364.609897   -1364.533291   -1364.791047     202.180584     202.180000      87.813165      48.071031    -113.673436
  900.000   -1364.609897   -1364.519085   -1364.824116     212.677781     212.678000      90.375165      56.985438    -134.424565
 1000.000   -1364.609897   -1364.504517   -1364.858786     222.307340     222.307000      92.373165      66.127004    -156.180336
 1100.000   -1364.609897   -1364.489665   -1364.894930     231.188946     231.188000      93.955165      75.446782    -178.861058
 1200.000   -1364.609897   -1364.474588   -1364.932436     239.420165     239.420000      95.227165      84.907751    -202.396448
 1300.000   -1364.609897   -1364.459327   -1364.971208     247.084959     247.085000      96.264165      94.484181    -226.726266
 1400.000   -1364.609897   -1364.443916   -1365.011160     254.250916     254.251000      97.119165     104.154737    -251.796545
 1500.000   -1364.609897   -1364.428381   -1365.052219     260.976389     260.976000      97.831165     113.903105    -277.561478
 1600.000   -1364.609897   -1364.412741   -1365.094318     267.310240     267.310000      98.430165     123.717362    -303.979022
 1700.000   -1364.609897   -1364.397014   -1365.137397     273.292786     273.293000      98.938165     133.586211    -331.011525
 1800.000   -1364.609897   -1364.381211   -1365.181405     278.960965     278.961000      99.373165     143.502752    -358.626985
 1900.000   -1364.609897   -1364.365345   -1365.226293     284.343937     284.344000      99.748165     153.458826    -386.794654
 2000.000   -1364.609897   -1364.349422   -1365.272017     289.468794     289.469000     100.073165     163.450667    -415.486921
