    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1553.156067   -1553.156055   -1553.156105      31.375500      31.613000       7.949165       0.007530      -0.023845
  100.000   -1553.156067   -1553.152826   -1553.167408      91.503508      91.506000      31.708165       2.033760      -7.116591
  200.000   -1553.156067   -1553.146159   -1553.184317     119.722633     119.723000      51.238165       6.217369     -17.727158
  300.000   -1553.156067   -1553.136723   -1553.205337     143.519904     143.521000      66.572165      12.138553     -30.917418
  400.000   -1553.156067   -1553.125117   -1553.229906     164.390363     164.390000      78.572165      19.421434     -46.334711
  500.000   -1553.156067   -1553.111834   -1553.257610     182.951796     182.952000      87.688165      27.756650     -63.719248
  600.000   -1553.156067   -1553.097293   -1553.288113     199.569097     199.569000      94.465165      36.881273     -82.860185
  700.000   -1553.156067   -1553.081818   -1553.321128     214.527740     214.528000      99.499165      46.591990    -103.577428
  800.000   -1553.156067   -1553.065647   -1553.356412     228.072431     228.073000     103.283165      56.739454    -125.718491
  900.000   -1553.156067   -1553.048947   -1553.393756     240.412328     240.412000     106.179165      67.218871    -149.152224
 1000.000   -1553.156067   -1553.031839   -1553.432982     251.721244     251.721000     108.436165      77.954312    -173.766932
 1100.000   -1553.156067   -1553.014411   -1553.473937     262.142873     262.143000     110.227165      88.890557    -199.466604
 1200.000   -1553.156067   -1552.996726   -1553.516491     271.798113     271.798000     111.670165      99.988071    -226.169664
 1300.000   -1553.156067   -1552.978833   -1553.560529     280.784659     280.785000     112.851165     111.216107    -253.803950
 1400.000   -1553.156067   -1552.960769   -1553.605952     289.184846     289.185000     113.829165     122.551448    -282.307336
 1500.000   -1553.156067   -1552.942562   -1553.652671     297.066999     297.067000     114.648165     133.976523    -311.623976
 1600.000   -1553.156067   -1552.924235   -1553.700609     304.489030     304.489000     115.340165     145.476898    -341.705550
 1700.000   -1553.156067   -1552.905806   -1553.749696     311.499655     311.499000     115.930165     157.041280    -372.508134
 1800.000   -1553.156067   -1552.887290   -1553.799870     318.140598     318.141000     116.437165     168.660255    -403.992821
 1900.000   -1553.156067   -1552.868698   -1553.851076     324.448431     324.448000     116.877165     180.326921    -436.125098
 2000.000   -1553.156067   -1552.850042   -1553.903262     330.453041     330.453000     117.259165     192.033748    -468.872334
