    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1577.181436   -1577.181424   -1577.181474      31.375500      31.644000       7.949165       0.007530      -0.023845
  100.000   -1577.181436   -1577.178129   -1577.192955      93.034633      93.035000      31.970165       2.075176      -7.228288
  200.000   -1577.181436   -1577.171466   -1577.210115     121.263170     121.263000      50.844165       6.256275     -17.996359
  300.000   -1577.181436   -1577.162153   -1577.231359     144.758190     144.757000      65.438165      12.100275     -31.327182
  400.000   -1577.181436   -1577.150778   -1577.256092     165.213970     165.214000      76.832165      19.238202     -46.847387
  500.000   -1577.181436   -1577.137812   -1577.283892     183.333322     183.333000      85.463165      27.374496     -64.292165
  600.000   -1577.181436   -1577.123658   -1577.314420     199.508438     199.509000      91.856165      36.256273     -83.448790
  700.000   -1577.181436   -1577.108624   -1577.347392     214.041868     214.042000      96.581165      45.690258    -104.139050
  800.000   -1577.181436   -1577.092939   -1577.382566     227.179798     227.180000     100.105165      55.532752    -126.211086
  900.000   -1577.181436   -1577.076764   -1577.419736     239.131511     239.131000     102.773165      65.682727    -149.535633
 1000.000   -1577.181436   -1577.060216   -1577.458728     250.070265     250.070000     104.824165      76.066762    -174.003503
 1100.000   -1577.181436   -1577.043378   -1577.499392     260.139405     260.139000     106.427165      86.632776    -199.520570
 1200.000   -1577.181436   -1577.026313   -1577.541600     269.456454     269.456000     107.699165      97.341234    -226.006512
 1300.000   -1577.181436   -1577.009065   -1577.585239     278.119190     278.119000     108.721165     108.164526    -253.390421
 1400.000   -1577.181436   -1576.991671   -1577.630211     286.207311     286.207000     109.555165     119.079435    -281.610800
 1500.000   -1577.181436   -1576.974156   -1577.676432     293.790142     293.790000     110.241165     130.070273    -310.614940
 1600.000   -1577.181436   -1576.956541   -1577.723824     300.923597     300.924000     110.813165     141.123861    -340.353894
 1700.000   -1577.181436   -1576.938842   -1577.772321     307.656710     307.656000     111.295165     152.230161    -370.786246
 1800.000   -1577.181436   -1576.921073   -1577.821862     314.030059     314.030000     111.703165     163.380386    -401.873719
 1900.000   -1577.181436   -1576.903243   -1577.872392     320.079310     320.079000     112.052165     174.568889    -433.581800
 2000.000   -1577.181436   -1576.885362   -1577.923862     325.834568     325.834000     112.352165     185.789396    -465.879739
