    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1730.020838   -1730.020826   -1730.020878      32.630520      32.700000       7.949204       0.007530      -0.025100
  100.000   -1730.020838   -1730.016632   -1730.033114     103.426198     103.429000      44.318204       2.639307      -7.703313
  200.000   -1730.020838   -1730.007444   -1730.052830     142.400844     142.400000      69.108204       8.404869     -20.075300
  300.000   -1730.020838   -1729.995007   -1730.078103     173.811903     173.813000      86.132204      16.209211     -35.934360
  400.000   -1730.020838   -1729.980210   -1730.107976     200.436107     200.436000      98.985204      25.494476     -54.679966
  500.000   -1730.020838   -1729.963625   -1730.141805     223.619464     223.619000     108.700204      35.901730     -75.908002
  600.000   -1730.020838   -1729.945694   -1730.179106     244.113940     244.113000     115.983204      47.153611     -99.314753
  700.000   -1730.020838   -1729.926753   -1730.219493     262.424682     262.424000     121.484204      59.039278    -124.657999
  800.000   -1730.020838   -1729.907041   -1730.262650     278.935254     278.935000     125.722204      71.408755    -151.739448
  900.000   -1730.020838   -1729.886730   -1730.308315     293.943115     293.943000     129.066204      84.154111    -180.394692
 1000.000   -1730.020838   -1729.865939   -1730.356269     307.686978     307.686000     131.766204      97.200671    -210.486307
 1100.000   -1730.020838   -1729.844758   -1730.406324     320.352982     320.352000     133.991204     110.491961    -241.896320
 1200.000   -1730.020838   -1729.823253   -1730.458322     332.093457     332.093000     135.855204     123.986563    -274.525585
 1300.000   -1730.020838   -1729.801474   -1730.512126     343.031720     343.032000     137.435204     137.653104    -308.288133
 1400.000   -1730.020838   -1729.779461   -1730.567616     353.267960     353.268000     138.790204     151.466481    -343.108663
 1500.000   -1730.020838   -1729.757248   -1730.624687     362.884431     362.884000     139.961204     165.405361    -378.921286
 1600.000   -1730.020838   -1729.734861   -1730.683245     371.950277     371.950000     140.979204     179.453427    -415.667017
 1700.000   -1730.020838   -1729.712322   -1730.743209     380.524648     380.524000     141.870204     193.596875    -453.295026
 1800.000   -1730.020838   -1729.689650   -1730.804503     388.656337     388.656000     142.654204     207.823782    -491.757624
 1900.000   -1730.020838   -1729.666860   -1730.867060     396.388159     396.388000     143.346204     222.124735    -531.012767
 2000.000   -1730.020838   -1729.643967   -1730.930820     403.756563     403.756000     143.960204     236.490321    -571.022805
