    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1363.957851   -1363.957839   -1363.957889      31.375500      31.823000       7.949165       0.007530      -0.023845
  100.000   -1363.957851   -1363.954869   -1363.969256      90.279864      90.275000      27.585165       1.871235      -7.156752
  200.000   -1363.957851   -1363.949177   -1363.985641     114.407623     114.408000      43.282165       5.443022     -17.438503
  300.000   -1363.957851   -1363.941253   -1364.005506     134.398000     134.399000      55.679165      10.415411     -29.903989
  400.000   -1363.957851   -1363.931571   -1364.028341     151.810357     151.809000      65.406165      16.490963     -44.233180
  500.000   -1363.957851   -1363.920534   -1364.053786     167.233925     167.234000      72.756165      23.416791     -60.200172
  600.000   -1363.957851   -1363.908486   -1364.081554     181.003168     181.003000      78.167165      30.977031     -77.624870
  700.000   -1363.957851   -1363.895697   -1364.111401     193.366310     193.366000      82.134165      39.002257     -96.354160
  800.000   -1363.957851   -1363.882362   -1364.143120     204.535316     204.535000      85.070165      47.370102    -116.258150
  900.000   -1363.957851   -1363.868622   -1364.176536     214.687905     214.688000      87.277165      55.992090    -137.227024
 1000.000   -1363.957851   -1363.854573   -1364.211499     223.974634     223.975000      88.963165      64.807978    -159.166656
 1100.000   -1363.957851   -1363.840287   -1364.247882     232.518126     232.518000      90.275165      73.772586    -181.997353
 1200.000   -1363.957851   -1363.825815   -1364.285574     240.419475     240.419000      91.310165      82.853910    -205.649460
 1300.000   -1363.957851   -1363.811195   -1364.324479     247.762187     247.762000      92.140165      92.028107    -230.062736
 1400.000   -1363.957851   -1363.796456   -1364.364514     254.615768     254.616000      92.814165     101.276976    -255.185099
 1500.000   -1363.957851   -1363.781620   -1364.405607     261.038722     261.039000      93.368165     110.586715    -280.971368
 1600.000   -1363.957851   -1363.766703   -1364.447692     267.079630     267.080000      93.829165     119.947281    -307.380126
 1700.000   -1363.957851   -1363.751719   -1364.490713     272.780073     272.780000      94.215165     129.349891    -334.376234
 1800.000   -1363.957851   -1363.736678   -1364.534617     278.174834     278.175000      94.543165     138.788269    -361.926433
 1900.000   -1363.957851   -1363.721589   -1364.579358     283.294013     283.294000      94.822165     148.256768    -390.001858
 2000.000   -1363.957851   -1363.706458   -1364.624895     288.164201     288.164000      95.063165     157.751621    -418.576780
