    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -213.095213    -213.095201    -213.095222      13.177710      13.684000       7.949165       0.007530      -0.005648
  100.000    -213.095213    -213.093946    -213.101961      50.294927      50.292000       7.966165       0.795055      -4.234437
  200.000    -213.095213    -213.092648    -213.110471      55.920554      55.920000       8.438165       1.609563      -9.574548
  300.000    -213.095213    -213.091239    -213.119682      59.494223      59.493000       9.250165       2.493725     -15.354542
  400.000    -213.095213    -213.089703    -213.129391      62.261542      62.262000      10.015165       3.457580     -21.447037
  500.000    -213.095213    -213.088054    -213.139502      64.568269      64.568000      10.661165       4.492344     -27.791790
  600.000    -213.095213    -213.086311    -213.149954      66.561032      66.561000      11.197165       5.586094     -34.350525
  700.000    -213.095213    -213.084490    -213.160704      68.321496      68.321000      11.636165       6.728790     -41.096257
  800.000    -213.095213    -213.082606    -213.171719      69.899123      69.899000      11.992165       7.911019     -48.008280
  900.000    -213.095213    -213.080671    -213.182974      71.329062      71.329000      12.282165       9.125250     -55.070905
 1000.000    -213.095213    -213.078695    -213.194447      72.635538      72.636000      12.517165      10.365210     -62.270327
 1100.000    -213.095213    -213.076684    -213.206119      73.837961      73.838000      12.708165      11.627133     -69.594624
 1200.000    -213.095213    -213.074646    -213.217976      74.950840      74.951000      12.866165      12.905998     -77.035010
 1300.000    -213.095213    -213.072585    -213.230003      75.985669      75.986000      12.996165      14.199296     -84.582073
 1400.000    -213.095213    -213.070505    -213.242190      76.952896      76.953000      13.104165      15.504517     -92.229537
 1500.000    -213.095213    -213.068409    -213.254526      77.860186      77.860000      13.195165      16.819778     -99.970501
 1600.000    -213.095213    -213.066300    -213.267003      78.714462      78.714000      13.273165      18.143197    -107.799943
 1700.000    -213.095213    -213.064180    -213.279612      79.521020      79.521000      13.338165      19.473518    -115.712216
 1800.000    -213.095213    -213.062049    -213.292346      80.285372      80.285000      13.395165      20.810742    -123.702929
 1900.000    -213.095213    -213.059911    -213.305198      81.010550      81.011000      13.443165      22.152358    -131.767687
 2000.000    -213.095213    -213.057765    -213.318164      81.701488      81.701000      13.485165      23.498994    -139.903982
