    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1653.598495   -1653.598483   -1653.598534      32.003010      32.112000       7.949204       0.007530      -0.024473
  100.000   -1653.598495   -1653.594441   -1653.610575     101.242463     101.239000      40.789204       2.543926      -7.580321
  200.000   -1653.598495   -1653.586171   -1653.629637     136.376748     136.376000      61.673204       7.733433     -19.541916
  300.000   -1653.598495   -1653.575081   -1653.653671     164.386703     164.386000      76.850204      14.692519     -34.623492
  400.000   -1653.598495   -1653.561856   -1653.681809     188.179268     188.178000      88.614204      22.991339     -52.280368
  500.000   -1653.598495   -1653.546987   -1653.713488     208.962085     208.962000      97.575204      32.321785     -72.159257
  600.000   -1653.598495   -1653.530877   -1653.748284     227.375111     227.375000     104.279204      42.430971     -93.994095
  700.000   -1653.598495   -1653.513840   -1653.785854     243.845007     243.845000     109.300204      53.121859    -117.569646
  800.000   -1653.598495   -1653.496104   -1653.825916     258.700410     258.700000     113.115204      64.251376    -142.708952
  900.000   -1653.598495   -1653.477833   -1653.868235     272.201288     272.201000     116.071204      75.716612    -169.264547
 1000.000   -1653.598495   -1653.459143   -1653.912611     284.555705     284.556000     118.408204      87.444774    -197.110931
 1100.000   -1653.598495   -1653.440118   -1653.958877     295.933146     295.933000     120.293204      99.383151    -226.143309
 1200.000   -1653.598495   -1653.420821   -1654.006887     306.468563     306.468000     121.837204     111.492212    -256.270064
 1300.000   -1653.598495   -1653.401300   -1654.056516     316.272763     316.272000     123.121204     123.741834    -287.412758
 1400.000   -1653.598495   -1653.381591   -1654.107655     325.437443     325.437000     124.202204     136.109429    -319.502992
 1500.000   -1653.598495   -1653.361723   -1654.160209     334.038633     334.039000     125.120204     148.576798    -352.481152
 1600.000   -1653.598495   -1653.341719   -1654.214093     342.139630     342.139000     125.907204     161.129508    -386.293901
 1700.000   -1653.598495   -1653.321599   -1654.269232     349.793638     349.793000     126.587204     173.755009    -420.894175
 1800.000   -1653.598495   -1653.301378   -1654.325558     357.046218     357.046000     127.178204     186.443889    -456.239303
 1900.000   -1653.598495   -1653.281069   -1654.383011     363.936644     363.936000     127.695204     199.187989    -492.291635
 2000.000   -1653.598495   -1653.260682   -1654.441535     370.498533     370.498000     128.150204     211.981036    -529.016030
