    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -152.833292    -152.833279    -152.833299      12.550200      12.483000       7.949165       0.008158      -0.004393
  100.000    -152.833292    -152.831717    -152.839971      51.794675      51.793000      13.136165       0.988328      -4.191139
  200.000    -152.833292    -152.829321    -152.849109      62.085839      62.085000      16.419165       2.491842      -9.925326
  300.000    -152.833292    -152.826571    -152.859588      69.061659      69.061000      17.949165       4.217495     -16.501003
  400.000    -152.833292    -152.823627    -152.871033      74.369348      74.370000      18.961165       6.064884     -23.682855
  500.000    -152.833292    -152.820537    -152.883239      78.692264      78.692000      19.794165       8.003890     -31.342242
  600.000    -152.833292    -152.817323    -152.896080      82.368008      82.367000      20.528165      10.020707     -39.400098
  700.000    -152.833292    -152.813998    -152.909467      85.582503      85.583000      21.201165      12.107178     -47.800574
  800.000    -152.833292    -152.810568    -152.923339      88.456163      88.456000      21.841165      14.259537     -56.505393
  900.000    -152.833292    -152.807037    -152.937646      91.064948      91.065000      22.464165      16.475275     -65.483179
 1000.000    -152.833292    -152.803409    -152.952352      93.463222      93.463000      23.072165      18.751881     -74.711341
 1100.000    -152.833292    -152.799685    -152.967425      95.689570      95.690000      23.663165      21.088729     -84.169799
 1200.000    -152.833292    -152.795868    -152.982842      97.773379      97.773000      24.232165      23.483934     -93.844121
 1300.000    -152.833292    -152.791963    -152.998581      99.734509      99.735000      24.772165      25.934361    -103.720500
 1400.000    -152.833292    -152.787975    -153.014624     101.588939     101.589000      25.279165      28.436871    -113.787643
 1500.000    -152.833292    -152.783908    -153.030955     103.349642     103.350000      25.753165      30.988954    -124.035509
 1600.000    -152.833292    -152.779768    -153.047559     105.025957     105.026000      26.192165      33.586845    -134.454685
 1700.000    -152.833292    -152.775562    -153.064425     106.626130     106.626000      26.596165      36.226152    -145.038269
 1800.000    -152.833292    -152.771293    -153.081540     108.157275     108.157000      26.967165      38.904992    -155.778102
 1900.000    -152.833292    -152.766968    -153.098893     109.624346     109.624000      27.307165      41.618973    -166.667284
 2000.000    -152.833292    -152.762591    -153.116476     111.033188     111.033000      27.618165      44.365585    -177.700792
