    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000     -76.676850     -76.676837     -76.676839       1.255020       0.685000       7.949165       0.008158       0.006903
  100.000     -76.676850     -76.675583     -76.681526      37.292919      37.291000       7.950165       0.795055      -2.934237
  200.000     -76.676850     -76.674309     -76.687959      42.827558      42.830000       8.106165       1.594503      -6.971009
  300.000     -76.676850     -76.672982     -76.695069      46.199378      46.199000       8.583165       2.427209     -11.432605
  400.000     -76.676850     -76.671565     -76.702642      48.752821      48.753000       9.218165       3.316390     -16.184738
  500.000     -76.676850     -76.670041     -76.710585      50.883531      50.883000       9.901165       4.272716     -21.169050
  600.000     -76.676850     -76.668410     -76.718845      52.747445      52.748000      10.573165       5.296184     -26.352282
  700.000     -76.676850     -76.666673     -76.727387      54.426632      54.427000      11.218165       6.386169     -31.712473
  800.000     -76.676850     -76.664836     -76.736185      55.965264      55.965000      11.834165       7.538905     -37.233306
  900.000     -76.676850     -76.662903     -76.745219      57.393459      57.394000      12.424165       8.751882     -42.902231
 1000.000     -76.676850     -76.660877     -76.754473      58.732426      58.732000      12.987165      10.023217     -48.709209
 1100.000     -76.676850     -76.658765     -76.763934      59.995090      59.995000      13.520165      11.348518     -54.646081
 1200.000     -76.676850     -76.656570     -76.773591      61.193206      61.193000      14.019165      12.725903     -60.705945
 1300.000     -76.676850     -76.654299     -76.783434      62.333465      62.334000      14.482165      14.150978     -66.882526
 1400.000     -76.676850     -76.651956     -76.793455      63.422884      63.423000      14.909165      15.621234     -73.170804
 1500.000     -76.676850     -76.649549     -76.803646      64.464939      64.465000      15.300165      17.131651     -79.565758
 1600.000     -76.676850     -76.647082     -76.813999      65.463804      65.464000      15.656165      18.679718     -86.062369
 1700.000     -76.676850     -76.644561     -76.824508      66.422672      66.423000      15.980165      20.261670     -92.656872
 1800.000     -76.676850     -76.641990     -76.835168      67.345070      67.345000      16.274165      21.874999     -99.346128
 1900.000     -76.676850     -76.639375     -76.845971      68.232135      68.232000      16.541165      23.515937    -106.125119
 2000.000     -76.676850     -76.636719     -76.856913      69.086968      69.087000      16.783165      25.182604    -112.991333
