    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1764.949183   -1764.949170   -1764.949222      32.630520      32.512000       7.949165       0.008158      -0.024473
  100.000   -1764.949183   -1764.945811   -1764.960601      92.808729      92.811000      34.717165       2.115964      -7.164909
  200.000   -1764.949183   -1764.938375   -1764.977976     124.250118     124.252000      57.308165       6.782128     -18.067895
  300.000   -1764.949183   -1764.927869   -1764.999942     150.755094     150.757000      73.845165      13.374748     -31.851780
  400.000   -1764.949183   -1764.915022   -1765.025846     173.857921     173.858000      86.859165      21.436369     -48.106799
  500.000   -1764.949183   -1764.900345   -1765.055218     194.368712     194.368000      96.867165      30.646333     -66.538023
  600.000   -1764.949183   -1764.884283   -1765.087681     212.723798     212.724000     104.350165      40.725399     -86.908880
  700.000   -1764.949183   -1764.867188   -1765.122920     229.249125     229.249000     109.918165      51.452682    -109.021705
  800.000   -1764.949183   -1764.849323   -1765.160664     244.211989     244.212000     114.104165      62.663149    -132.706442
  900.000   -1764.949183   -1764.830873   -1765.200685     257.845253     257.845000     117.298165      74.240708    -157.820020
 1000.000   -1764.949183   -1764.811975   -1765.242784     270.336956     270.337000     119.779165      86.099392    -184.237564
 1100.000   -1764.949183   -1764.792725   -1765.286794     281.848398     281.849000     121.737165      98.178960    -211.854279
 1200.000   -1764.949183   -1764.773195   -1765.332570     292.511172     292.511000     123.306165     110.434230    -240.579176
 1300.000   -1764.949183   -1764.753440   -1765.379984     302.432789     302.433000     124.580165     122.830690    -270.331936
 1400.000   -1764.949183   -1764.733501   -1765.428927     311.704835     311.705000     125.628165     135.342612    -301.044157
 1500.000   -1764.949183   -1764.713409   -1765.479300     320.402841     320.403000     126.499165     147.950543    -332.653719
 1600.000   -1764.949183   -1764.693190   -1765.531019     328.591297     328.591000     127.229165     160.638167    -365.107908
 1700.000   -1764.949183   -1764.672865   -1765.584005     336.323213     336.323000     127.848165     173.392308    -398.357153
 1800.000   -1764.949183   -1764.652447   -1765.638190     343.646439     343.646000     128.377165     186.204807    -432.358783
 1900.000   -1764.949183   -1764.631952   -1765.693512     350.599745     350.599000     128.831165     199.065625    -467.073891
 2000.000   -1764.949183   -1764.611389   -1765.749915     357.218225     357.218000     129.224165     211.969113    -502.467337
