    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1527.163807   -1527.163794   -1527.163844      31.375500      31.129000       7.949165       0.008158      -0.023218
  100.000   -1527.163807   -1527.160818   -1527.174669      86.916410      86.921000      30.101165       1.875627      -6.816014
  200.000   -1527.163807   -1527.154405   -1527.190753     114.043667     114.045000      49.324165       5.899849     -16.908884
  300.000   -1527.163807   -1527.145365   -1527.210791     136.851564     136.852000      63.545165      11.572539     -29.482930
  400.000   -1527.163807   -1527.134306   -1527.234217     156.737879     156.737000      74.791165      18.512173     -44.182979
  500.000   -1527.163807   -1527.121664   -1527.260629     174.403854     174.403000      83.463165      26.445154     -60.756773
  600.000   -1527.163807   -1527.107820   -1527.289704     190.223381     190.223000      89.961165      35.132402     -79.001626
  700.000   -1527.163807   -1527.093079   -1527.321173     204.473237     204.473000      94.808165      44.382527     -98.748739
  800.000   -1527.163807   -1527.077666   -1527.354803     217.382799     217.382000      98.458165      54.054339    -119.851900
  900.000   -1527.163807   -1527.061744   -1527.390397     229.147827     229.147000     101.252165      64.045553    -142.187491
 1000.000   -1527.163807   -1527.045428   -1527.427785     239.932841     239.933000     103.425165      74.284006    -165.648835
 1100.000   -1527.163807   -1527.028804   -1527.466823     249.873912     249.874000     105.145165      84.715733    -190.145570
 1200.000   -1527.163807   -1527.011934   -1527.507386     259.084237     259.084000     106.525165      95.301826    -215.599258
 1300.000   -1527.163807   -1526.994866   -1527.549365     267.656667     267.656000     107.648165     106.012167    -241.941501
 1400.000   -1527.163807   -1526.977635   -1527.592664     275.669177     275.669000     108.573165     116.824792    -269.112056
 1500.000   -1527.163807   -1526.960270   -1527.637200     283.186896     283.187000     109.343165     127.721503    -297.058841
 1600.000   -1527.163807   -1526.942792   -1527.682898     290.264948     290.265000     109.989165     138.689123    -325.734793
 1700.000   -1527.163807   -1526.925219   -1527.729692     296.949913     296.950000     110.538165     149.716356    -355.098496
 1800.000   -1527.163807   -1526.907565   -1527.777523     303.281858     303.281000     111.007165     160.794417    -385.112927
 1900.000   -1527.163807   -1526.889842   -1527.826337     309.294725     309.294000     111.410165     171.915777    -415.744200
 2000.000   -1527.163807   -1526.872060   -1527.876086     315.018178     315.018000     111.760165     183.074160    -446.962195
