    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1553.163431   -1553.163418   -1553.163468      31.375500      31.606000       7.949165       0.008158      -0.023218
  100.000   -1553.163431   -1553.160149   -1553.174872      92.388297      92.385000      31.893165       2.059488      -7.179342
  200.000   -1553.163431   -1553.153459   -1553.191931     120.707824     120.708000      51.333165       6.257530     -17.884035
  300.000   -1553.163431   -1553.144015   -1553.213111     144.528103     144.528000      66.586165      12.183734     -31.174697
  400.000   -1553.163431   -1553.132409   -1553.237839     165.395948     165.396000      78.557165      19.466615     -46.691764
  500.000   -1553.163431   -1553.119130   -1553.265704     183.953301     183.953000      87.668165      27.799321     -64.177330
  600.000   -1553.163431   -1553.104592   -1553.296366     200.566838     200.567000      94.448165      36.922061     -83.418042
  700.000   -1553.163431   -1553.089120   -1553.329540     215.522792     215.523000      99.486165      46.630896    -104.235059
  800.000   -1553.163431   -1553.072950   -1553.364983     229.067035     229.067000     103.274165      56.777732    -126.475896
  900.000   -1553.163431   -1553.056251   -1553.402485     241.405886     241.405000     106.171165      67.256522    -150.008776
 1000.000   -1553.163431   -1553.039145   -1553.441869     252.713337     252.713000     108.429165      77.990708    -174.722629
 1100.000   -1553.163431   -1553.021717   -1553.482983     263.135480     263.135000     110.220165      88.926952    -200.522076
 1200.000   -1553.163431   -1553.004034   -1553.525694     272.789055     272.789000     111.664165     100.023211    -227.323655
 1300.000   -1553.163431   -1552.986142   -1553.569891     281.775642     281.775000     112.845165     111.250620    -255.057715
 1400.000   -1553.163431   -1552.968078   -1553.615471     290.175415     290.175000     113.823165     122.585961    -283.659620
 1500.000   -1553.163431   -1552.949872   -1553.662348     298.057210     298.057000     114.642165     134.010408    -313.075407
 1600.000   -1553.163431   -1552.931546   -1553.710443     305.478535     305.478000     115.334165     145.510156    -343.255500
 1700.000   -1553.163431   -1552.913118   -1553.759688     312.488906     312.488000     115.924165     157.073911    -374.157230
 1800.000   -1553.163431   -1552.894603   -1553.810020     319.129623     319.129000     116.432165     168.692258    -405.741063
 1900.000   -1553.163431   -1552.876013   -1553.861383     325.436594     325.436000     116.871165     180.357669    -437.971860
 2000.000   -1553.163431   -1552.857357   -1553.913727     331.441369     331.441000     117.254165     192.064496    -470.818243
