    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1553.159800   -1553.159787   -1553.159838      32.003010      31.613000       7.949165       0.008158      -0.023845
  100.000   -1553.159800   -1553.156521   -1553.171238      92.350647      92.352000      31.919165       2.057605      -7.177459
  200.000   -1553.159800   -1553.149825   -1553.188294     120.698411     120.698000      51.395165       6.259412     -17.880270
  300.000   -1553.159800   -1553.140364   -1553.209475     144.559479     144.559000      66.735165      12.196284     -31.171559
  400.000   -1553.159800   -1553.128730   -1553.234213     165.479093     165.478000      78.752165      19.496736     -46.694902
  500.000   -1553.159800   -1553.115419   -1553.262093     184.078803     184.079000      87.866165      27.849521     -64.189880
  600.000   -1553.159800   -1553.100850   -1553.292779     200.728945     200.728000      94.630165      36.991714     -83.445652
  700.000   -1553.159800   -1553.085351   -1553.325981     215.711045     215.711000      99.646165      46.717492    -104.280239
  800.000   -1553.159800   -1553.069157   -1553.361455     229.274897     229.275000     103.413165      56.879389    -126.540529
  900.000   -1553.159800   -1553.052438   -1553.398991     241.628303     241.628000     106.293165      67.370729    -150.094744
 1000.000   -1553.159800   -1553.035313   -1553.438412     252.948653     252.948000     108.536165      78.116837    -174.831816
 1100.000   -1553.159800   -1553.017870   -1553.479564     263.379638     263.380000     110.315165      89.062494    -200.655108
 1200.000   -1553.159800   -1553.000172   -1553.522316     273.042151     273.042000     111.749165     100.168166    -227.482415
 1300.000   -1553.159800   -1552.982267   -1553.566552     282.034369     282.034000     112.921165     111.403733    -255.240948
 1400.000   -1553.159800   -1552.964192   -1553.612175     290.439866     290.439000     113.891165     122.745976    -283.869836
 1500.000   -1553.159800   -1552.945976   -1553.659094     298.325784     298.326000     114.704165     134.176698    -313.311978
 1600.000   -1553.159800   -1552.927640   -1553.707233     305.751502     305.751000     115.391165     145.682722    -343.519682
 1700.000   -1553.159800   -1552.909204   -1553.756521     312.764642     312.765000     115.976165     157.251496    -374.448395
 1800.000   -1553.159800   -1552.890681   -1553.806897     319.408168     319.408000     116.480165     168.874864    -406.059838
 1900.000   -1553.159800   -1552.872083   -1553.858305     325.717983     325.718000     116.915165     180.545295    -438.318873
 2000.000   -1553.159800   -1552.853420   -1553.910694     331.725004     331.725000     117.294165     192.256514    -471.193494
