    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -426.271529    -426.271516    -426.271548      20.080320      20.327000       7.949165       0.008158      -0.011923
  100.000    -426.271529    -426.270194    -426.279355      57.486191      57.485000       9.521165       0.837726      -4.910893
  200.000    -426.271529    -426.268356    -426.289173      65.314378      65.315000      13.690165       1.991089     -11.071786
  300.000    -426.271529    -426.265846    -426.300098      71.644908      71.645000      17.660165       3.566139     -17.927333
  400.000    -426.271529    -426.262775    -426.311965      77.168042      77.167000      20.739165       5.493223     -25.373994
  500.000    -426.271529    -426.259277    -426.324659      82.055718      82.056000      23.049165       7.688253     -33.339606
  600.000    -426.271529    -426.255460    -426.338090      86.418585      86.419000      24.782165      10.083458     -41.767693
  700.000    -426.271529    -426.251401    -426.352180      90.342615      90.342000      26.093165      12.630521     -50.609309
  800.000    -426.271529    -426.247159    -426.366864      93.895106      93.895000      27.095165      15.292419     -59.823666
  900.000    -426.271529    -426.242777    -426.382089      97.132970      97.133000      27.871165      18.042168     -69.377506
 1000.000    -426.271529    -426.238285    -426.397808     100.102278     100.102000      28.481165      20.860942     -79.241335
 1100.000    -426.271529    -426.233706    -426.413981     102.840332     102.840000      28.965165      23.734311     -89.390055
 1200.000    -426.271529    -426.229058    -426.430575     105.378277     105.378000      29.355165      26.650977     -99.802955
 1300.000    -426.271529    -426.224354    -426.447558     107.740571     107.741000      29.673165      29.602784    -110.459958
 1400.000    -426.271529    -426.219604    -426.464906     109.949613     109.950000      29.934165      32.583457    -121.346001
 1500.000    -426.271529    -426.214816    -426.482594     112.022249     112.022000      30.152165      35.587975    -132.445398
 1600.000    -426.271529    -426.209996    -426.500603     113.974249     113.974000      30.334165      38.612573    -143.746226
 1700.000    -426.271529    -426.205149    -426.518914     115.818044     115.818000      30.488165      41.654114    -155.236561
 1800.000    -426.271529    -426.200280    -426.537512     117.564696     117.565000      30.620165      44.709460    -166.906992
 1900.000    -426.271529    -426.195391    -426.556380     119.223267     119.223000      30.733165      47.777356    -178.746851
 2000.000    -426.271529    -426.190485    -426.575506     120.802264     120.802000      30.831165      50.855920    -190.748607
