    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -688.547227    -688.547215    -688.547253      23.845380      23.937000       7.949204       0.007530      -0.016315
  100.000    -688.547227    -688.545322    -688.556316      68.988449      68.991000      15.361204       1.195407      -5.703438
  200.000    -688.547227    -688.542344    -688.568379      81.686114      81.686000      21.750204       3.064131     -13.273092
  300.000    -688.547227    -688.538469    -688.582203      91.478408      91.478000      26.665204       5.495733     -21.947790
  400.000    -688.547227    -688.533905    -688.597452      99.690945      99.692000      30.452204       8.359688     -31.516690
  500.000    -688.547227    -688.528812    -688.613919     106.810987     106.811000      33.331204      11.555597     -41.849897
  600.000    -688.547227    -688.523320    -688.631451     113.088806     113.089000      35.491204      15.001882     -52.851402
  700.000    -688.547227    -688.517529    -688.649927     118.687241     118.687000      37.109204      18.635792     -64.445277
  800.000    -688.547227    -688.511513    -688.669249     123.726147     123.726000      38.330204      22.410892     -76.570025
  900.000    -688.547227    -688.505328    -688.689336     128.296511     128.297000      39.262204      26.292041     -89.174819
 1000.000    -688.547227    -688.499011    -688.710119     132.472381     132.472000      39.983204      30.256022    -102.216359
 1100.000    -688.547227    -688.492592    -688.731540     136.311145     136.311000      40.550204      34.284009    -115.658251
 1200.000    -688.547227    -688.486093    -688.753548     139.858906     139.859000      41.002204      38.362196    -129.468491
 1300.000    -688.547227    -688.479529    -688.776102     143.155787     143.156000      41.366204      42.481172    -143.621351
 1400.000    -688.547227    -688.472912    -688.799163     146.232689     146.233000      41.663204      46.633406    -158.092359
 1500.000    -688.547227    -688.466252    -688.822699     149.116038     149.116000      41.909204      50.812622    -172.861435
 1600.000    -688.547227    -688.459557    -688.846681     151.827613     151.827000      42.114204      55.013802    -187.910380
 1700.000    -688.547227    -688.452831    -688.871082     154.386285     154.386000      42.287204      59.234434    -203.222251
 1800.000    -688.547227    -688.446081    -688.895879     156.807079     156.807000      42.434204      63.470126    -218.782617
 1900.000    -688.547227    -688.439308    -688.921053     159.105161     159.105000      42.559204      67.720252    -234.579553
 2000.000    -688.547227    -688.432517    -688.946583     161.290778     161.291000      42.668204      71.981672    -250.599884
