    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1377.155455   -1377.155442   -1377.155491      30.747990      30.488000       7.949204       0.008158      -0.022590
  100.000   -1377.155455   -1377.151991   -1377.166899      93.549191      93.554000      32.534204       2.173695      -7.181224
  200.000   -1377.155455   -1377.145586   -1377.184099     120.836463     120.835000      46.936204       6.192896     -17.974396
  300.000   -1377.155455   -1377.137249   -1377.205092     141.907203     141.908000      57.186204      11.424447     -31.147714
  400.000   -1377.155455   -1377.127495   -1377.229143     159.462841     159.463000      64.872204      17.545180     -46.239957
  500.000   -1377.155455   -1377.116674   -1377.255788     174.590852     174.591000      70.648204      24.335465     -62.959961
  600.000   -1377.155455   -1377.105055   -1377.284691     187.872311     187.872000      74.962204      31.626504     -81.096882
  700.000   -1377.155455   -1377.092840   -1377.315589     199.681750     199.682000      78.189204      39.291539    -100.485686
  800.000   -1377.155455   -1377.080177   -1377.348270     210.288798     210.289000      80.623204      47.237698    -120.993341
  900.000   -1377.155455   -1377.067174   -1377.382559     219.896935     219.897000      82.483204      55.397210    -142.510031
 1000.000   -1377.155455   -1377.053910   -1377.418311     228.665272     228.665000      83.925204      63.720503    -164.944769
 1100.000   -1377.155455   -1377.040441   -1377.455402     236.720161     236.720000      85.058204      72.172435    -188.219742
 1200.000   -1377.155455   -1377.026812   -1377.493726     244.161003     244.161000      85.961204      80.724769    -212.268435
 1300.000   -1377.155455   -1377.013053   -1377.533193     251.071578     251.071000      86.690204      89.358679    -237.034372
 1400.000   -1377.155455   -1376.999189   -1377.573723     257.518450     257.518000      87.286204      98.058478    -262.467353
 1500.000   -1377.155455   -1376.985238   -1377.615247     263.557965     263.558000      87.779204     106.812870    -288.524078
 1600.000   -1377.155455   -1376.971216   -1377.657705     269.236695     269.236000      88.190204     115.611815    -315.166898
 1700.000   -1377.155455   -1376.957134   -1377.701041     274.593577     274.593000      88.536204     124.448411    -342.360671
 1800.000   -1377.155455   -1376.943001   -1377.745208     279.662730     279.663000      88.831204     133.317010    -370.075905
 1900.000   -1377.155455   -1376.928824   -1377.790162     284.472741     284.472000      89.083204     142.213219    -398.284990
 2000.000   -1377.155455   -1376.914610   -1377.835863     289.047735     289.047000      89.300204     151.132646    -426.962824
