    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1289.378528   -1289.378516   -1289.378563      29.492970      29.537000       7.949165       0.007530      -0.021963
  100.000   -1289.378528   -1289.375904   -1289.388834      81.137043      81.132000      25.640165       1.646586      -6.467118
  200.000   -1289.378528   -1289.370494   -1289.403652     104.034883     104.034000      41.444165       5.041415     -15.765561
  300.000   -1289.378528   -1289.362907   -1289.421795     123.176030     123.176000      53.304165       9.802334     -27.150475
  400.000   -1289.378528   -1289.353630   -1289.442781     139.857860     139.857000      62.755165      15.623744     -40.319400
  500.000   -1289.378528   -1289.343019   -1289.466272     154.684980     154.685000      70.078165      22.282253     -55.060237
  600.000   -1289.378528   -1289.331391   -1289.492000     167.972923     167.973000      75.585165      29.578939     -71.204815
  700.000   -1289.378528   -1289.319002   -1289.519739     179.949250     179.949000      79.706165      37.353160     -88.611315
  800.000   -1289.378528   -1289.306040   -1289.549294     190.805397     190.805000      82.819165      45.486945    -107.157373
  900.000   -1289.378528   -1289.292644   -1289.580501     200.703496     200.704000      85.209165      53.893069    -126.740077
 1000.000   -1289.378528   -1289.278910   -1289.613219     209.782241     209.782000      87.074165      62.511291    -147.270949
 1100.000   -1289.378528   -1289.264912   -1289.647326     218.153281     218.153000      88.554165      71.295176    -168.673433
 1200.000   -1289.378528   -1289.250702   -1289.682716     225.910921     225.911000      89.745165      80.212093    -190.881012
 1300.000   -1289.378528   -1289.236320   -1289.719300     233.134446     233.134000      90.717165      89.236942    -213.837838
 1400.000   -1289.378528   -1289.221797   -1289.756996     239.887660     239.887000      91.519165      98.350270    -237.492455
 1500.000   -1289.378528   -1289.207158   -1289.795735     246.225302     246.225000      92.188165     107.536389    -261.801565
 1600.000   -1289.378528   -1289.192421   -1289.835453     252.193131     252.193000      92.751165     116.784004    -286.725007
 1700.000   -1289.378528   -1289.177601   -1289.876096     257.830940     257.831000      93.229165     126.083702    -312.228896
 1800.000   -1289.378528   -1289.162710   -1289.917613     263.171768     263.172000      93.638165     135.427953    -338.281228
 1900.000   -1289.378528   -1289.147759   -1289.959960     268.244342     268.244000      93.990165     144.809855    -364.854394
 2000.000   -1289.378528   -1289.132756   -1290.003095     273.073213     273.073000      94.296165     154.224388    -391.922038
