    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1388.639912   -1388.639899   -1388.639947      30.120480      30.080000       7.949165       0.008158      -0.021963
  100.000   -1388.639912   -1388.637220   -1388.650395      82.674442      82.675000      26.399165       1.689257      -6.578187
  200.000   -1388.639912   -1388.631585   -1388.665530     106.504135     106.504000      43.428165       5.225276     -16.075551
  300.000   -1388.639912   -1388.623620   -1388.684144     126.598051     126.598000      55.969165      10.223393     -27.756022
  400.000   -1388.639912   -1388.613897   -1388.705742     144.084140     144.083000      65.631165      16.324673     -41.308983
  500.000   -1388.639912   -1388.602829   -1388.729960     159.551948     159.552000      72.922165      23.269953     -56.506020
  600.000   -1388.639912   -1388.590758   -1388.756505     173.346500     173.347000      78.291165      30.844627     -73.163273
  700.000   -1388.639912   -1388.577951   -1388.785134     185.727720     185.727000      82.231165      38.881147     -91.128257
  800.000   -1388.639912   -1388.564603   -1388.815637     196.907932     196.907000      85.148165      47.257151    -110.269195
  900.000   -1388.639912   -1388.550851   -1388.847838     207.069236     207.069000      87.340165      55.886668    -130.475644
 1000.000   -1388.639912   -1388.536793   -1388.881588     216.362310     216.362000      89.016165      64.708204    -151.654107
 1100.000   -1388.639912   -1388.522500   -1388.916757     224.909282     224.909000      90.319165      73.677204    -173.723006
 1200.000   -1388.639912   -1388.508021   -1388.953237     232.814577     232.814000      91.348165      82.762921    -196.614571
 1300.000   -1388.639912   -1388.493396   -1388.990930     240.159662     240.160000      92.173165      91.940255    -220.267305
 1400.000   -1388.639912   -1388.478652   -1389.029755     247.016174     247.016000      92.843165     101.192263    -244.630381
 1500.000   -1388.639912   -1388.463811   -1389.069636     253.440830     253.441000      93.393165     110.505139    -269.656107
 1600.000   -1388.639912   -1388.448891   -1389.110511     259.483229     259.483000      93.851165     119.867588    -295.305578
 1700.000   -1388.639912   -1388.433903   -1389.152321     265.184988     265.185000      94.235165     129.272708    -321.541772
 1800.000   -1388.639912   -1388.418859   -1389.195014     270.580569     270.580000      94.560165     138.712968    -348.332056
 1900.000   -1388.639912   -1388.403767   -1389.238546     275.701142     275.701000      94.838165     148.183349    -375.648821
 2000.000   -1388.639912   -1388.388634   -1389.282873     280.571957     280.572000      95.077165     157.679458    -403.464457
