    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1002.356729   -1002.356716   -1002.356760      27.610440      27.495000       7.949165       0.008158      -0.019453
  100.000   -1002.356729   -1002.354433   -1002.366529      75.903610      75.901000      21.040165       1.440763      -6.149598
  200.000   -1002.356729   -1002.350043   -1002.380160      94.493593      94.493000      33.591165       4.195532     -14.703187
  300.000   -1002.356729   -1002.343878   -1002.396488     110.044337     110.045000      43.378165       8.064131     -24.949170
  400.000   -1002.356729   -1002.336330   -1002.415129     123.617901     123.617000      51.020165      12.800576     -36.646584
  500.000   -1002.356729   -1002.327713   -1002.435806     135.658877     135.659000      56.853165      18.207830     -49.621608
  600.000   -1002.356729   -1002.318288   -1002.458299     146.430504     146.430000      61.223165      24.122112     -63.736191
  700.000   -1002.356729   -1002.308258   -1002.482420     156.126281     156.126000      64.496165      30.416037     -78.872359
  800.000   -1002.356729   -1002.297773   -1002.508011     164.908059     164.907000      66.980165      36.995480     -94.930968
  900.000   -1002.356729   -1002.286940   -1002.534938     172.912472     172.912000      68.899165      43.793295    -111.827930
 1000.000   -1002.356729   -1002.275835   -1002.563086     180.252875     180.252000      70.410165      50.761794    -129.491081
 1100.000   -1002.356729   -1002.264515   -1002.592358     187.022510     187.022000      71.621165      57.865207    -147.859554
 1200.000   -1002.356729   -1002.253020   -1002.622668     193.298180     193.298000      72.606165      65.078435    -166.879382
 1300.000   -1002.356729   -1002.241383   -1002.653943     199.142712     199.142000      73.421165      72.380768    -186.504757
 1400.000   -1002.356729   -1002.229627   -1002.686118     204.609048     204.609000      74.101165      79.757776    -206.694891
 1500.000   -1002.356729   -1002.217771   -1002.719138     209.741871     209.742000      74.675165      87.197535    -227.415272
 1600.000   -1002.356729   -1002.205831   -1002.752951     214.577045     214.577000      75.164165      94.690004    -248.633267
 1700.000   -1002.356729   -1002.193818   -1002.787514     219.147163     219.147000      75.584165     102.228282    -270.321895
 1800.000   -1002.356729   -1002.181744   -1002.822785     223.477577     223.478000      75.947165     109.804837    -292.454801
 1900.000   -1002.356729   -1002.169615   -1002.858729     227.592593     227.592000      76.263165     117.415906    -315.010020
 2000.000   -1002.356729   -1002.157439   -1002.895313     231.511657     231.511000      76.539165     125.056468    -337.966846
