    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -651.252775    -651.252763    -651.252800      23.217870      23.237000       7.949165       0.007530      -0.015688
  100.000    -651.252775    -651.251173    -651.261240      63.171432      63.174000      13.322165       1.005271      -5.311872
  200.000    -651.252775    -651.248419    -651.272273      74.843118      74.841000      21.015165       2.733434     -12.235190
  300.000    -651.252775    -651.244564    -651.284994      84.567431      84.568000      27.123165       5.152485     -20.217745
  400.000    -651.252775    -651.239846    -651.299161      93.051889      93.051000      31.875165       8.113077     -29.107679
  500.000    -651.252775    -651.234466    -651.314600     100.569773     100.570000      35.474165      11.489081     -38.795806
  600.000    -651.252775    -651.228589    -651.331172     107.286431     107.286000      38.145165      15.176957     -49.194901
  700.000    -651.252775    -651.222344    -651.348759     113.323824     113.323000      40.132165      19.095757     -60.230920
  800.000    -651.252775    -651.215824    -651.367260     118.784505     118.784000      41.635165      23.187122     -71.840482
  900.000    -651.252775    -651.209092    -651.386592     123.758917     123.758000      42.799165      27.411519     -83.971506
 1000.000    -651.252775    -651.202196    -651.406682     128.317010     128.317000      43.721165      31.738828     -96.578182
 1100.000    -651.252775    -651.195167    -651.427470     132.520414     132.520000      44.466165      36.149596    -109.622859
 1200.000    -651.252775    -651.188031    -651.448903     136.416491     136.416000      45.080165      40.627507    -123.072281
 1300.000    -651.252775    -651.180805    -651.470935     140.045751     140.046000      45.592165      45.161895    -136.897582
 1400.000    -651.252775    -651.173504    -651.493526     143.440718     143.441000      46.024165      49.743345    -151.073660
 1500.000    -651.252775    -651.166139    -651.516641     146.629007     146.629000      46.394165      54.364956    -165.578554
 1600.000    -651.252775    -651.158720    -651.540250     149.633681     149.633000      46.711165      59.020453    -180.393437
 1700.000    -651.252775    -651.151253    -651.564324     152.474225     152.474000      46.986165      63.706070    -195.500113
 1800.000    -651.252775    -651.143746    -651.588838     155.166489     155.166000      47.226165      68.416788    -210.882893
 1900.000    -651.252775    -651.136203    -651.613771     157.725629     157.726000      47.437165      73.150096    -226.528600
 2000.000    -651.252775    -651.128628    -651.639102     160.163770     160.164000      47.622165      77.903484    -242.424056
