    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1199.826210   -1199.826198   -1199.826240      26.355420      26.590000       7.949165       0.007530      -0.018825
  100.000   -1199.826210   -1199.824199   -1199.835526      71.078058      71.078000      18.534165       1.261923      -5.845883
  200.000   -1199.826210   -1199.820276   -1199.848220      87.675697      87.676000      30.122165       3.723644     -13.811495
  300.000   -1199.826210   -1199.814770   -1199.863329     101.570860     101.570000      38.564165       7.178714     -23.292544
  400.000   -1199.826210   -1199.808093   -1199.880493     113.579310     113.580000      44.940165      11.368599     -34.063125
  500.000   -1199.826210   -1199.800532   -1199.899453     124.147833     124.147000      49.705165      16.113202     -45.960715
  600.000   -1199.826210   -1199.792318   -1199.919999     133.535174     133.535000      53.210165      21.267569     -58.853535
  700.000   -1199.826210   -1199.783622   -1199.941961     141.941866     141.942000      55.798165      26.724396     -72.634910
  800.000   -1199.826210   -1199.774568   -1199.965195     149.525436     149.525000      57.741165      32.405871     -87.214477
  900.000   -1199.826210   -1199.765242   -1199.989581     156.416629     156.416000      59.232165      38.258030    -102.516936
 1000.000   -1199.826210   -1199.755706   -1200.015017     162.720246     162.720000      60.403165      44.241965    -118.478281
 1100.000   -1199.826210   -1199.746003   -1200.041416     168.522374     168.522000      61.341165      50.330695    -135.043917
 1200.000   -1199.826210   -1199.736165   -1200.068705     173.893479     173.894000      62.106165      56.504138    -152.168037
 1300.000   -1199.826210   -1199.726216   -1200.096820     178.890551     178.891000      62.739165      62.747235    -169.810481
 1400.000   -1199.826210   -1199.716174   -1200.125704     183.560122     183.560000      63.269165      69.048690    -187.935480
 1500.000   -1199.826210   -1199.706055   -1200.155309     187.940918     187.941000      63.718165      75.398464    -206.512913
 1600.000   -1199.826210   -1199.695869   -1200.185591     192.065908     192.066000      64.102165      81.790281    -225.515171
 1700.000   -1199.826210   -1199.685627   -1200.216512     195.962145     195.962000      64.433165      88.217238    -244.918408
 1800.000   -1199.826210   -1199.675335   -1200.248037     199.653462     199.653000      64.719165      94.675571    -264.700661
 1900.000   -1199.826210   -1199.665001   -1200.280136     203.159665     203.159000      64.969165     101.160260    -284.843104
 2000.000   -1199.826210   -1199.654630   -1200.312779     206.497539     206.498000      65.189165     107.668166    -305.326913
