    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1739.731017   -1739.731005   -1739.731056      32.003010      32.441000       7.949165       0.007530      -0.024473
  100.000   -1739.731017   -1739.727567   -1739.742571      94.151600      94.149000      34.942165       2.164910      -7.250251
  200.000   -1739.731017   -1739.720141   -1739.760162     125.567889     125.568000      57.005165       6.824799     -18.288779
  300.000   -1739.731017   -1739.709716   -1739.782323     151.872062     151.871000      73.094165      13.366591     -32.195028
  400.000   -1739.731017   -1739.697037   -1739.808381     174.673684     174.673000      85.481165      21.322790     -48.546684
  500.000   -1739.731017   -1739.682632   -1739.837853     194.805459     194.806000      94.850165      30.362071     -67.040658
  600.000   -1739.731017   -1739.666936   -1739.870354     212.744715     212.744000     101.791165      40.211468     -87.435361
  700.000   -1739.731017   -1739.650285   -1739.905562     228.841243     228.840000     106.920165      50.660137    -109.528733
  800.000   -1739.731017   -1739.632927   -1739.943207     243.379753     243.379000     110.745165      61.552456    -133.151347
  900.000   -1739.731017   -1739.615038   -1739.983061     256.597903     256.598000     113.640165      72.777982    -158.160130
 1000.000   -1739.731017   -1739.596743   -1740.024930     268.691624     268.692000     115.866165      84.258278    -184.433347
 1100.000   -1739.731017   -1739.578134   -1740.068648     279.820400     279.820000     117.606165      95.935611    -211.866829
 1200.000   -1739.731017   -1739.559279   -1740.114070     290.114084     290.114000     118.985165     107.767312    -240.369588
 1300.000   -1739.731017   -1739.540226   -1740.161074     299.683330     299.683000     120.094165     119.723260    -269.865068
 1400.000   -1739.731017   -1739.521013   -1740.209552     308.617934     308.618000     120.998165     131.779610    -300.285498
 1500.000   -1739.731017   -1739.501670   -1740.259407     316.991697     316.992000     121.743165     143.917536    -331.570009
 1600.000   -1739.731017   -1739.482218   -1740.310557     324.869379     324.869000     122.363165     156.123860    -363.667145
 1700.000   -1739.731017   -1739.462675   -1740.362926     332.303826     332.304000     122.885165     168.387288    -396.529217
 1800.000   -1739.731017   -1739.443056   -1740.416448     339.340674     339.340000     123.327165     180.698407    -430.114807
 1900.000   -1739.731017   -1739.423371   -1740.471062     346.019252     346.019000     123.706165     193.050941    -464.385638
 2000.000   -1739.731017   -1739.403631   -1740.526714     352.372907     352.373000     124.032165     205.437989    -499.307824
