    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -2388.752170   -2388.752157   -2388.752212      34.513050      34.346000       7.949165       0.008158      -0.026355
  100.000   -2388.752170   -2388.748253   -2388.764485     101.857423     101.855000      41.168165       2.457957      -7.727786
  200.000   -2388.752170   -2388.739274   -2388.783820     139.765302     139.763000      69.745165       8.092369     -19.860691
  300.000   -2388.752170   -2388.726473   -2388.808731     172.059059     172.057000      89.915165      16.125124     -35.492593
  400.000   -2388.752170   -2388.710870   -2388.838434     200.119214     200.119000     105.213165      25.916163     -54.131523
  500.000   -2388.752170   -2388.693143   -2388.872339     224.894564     224.894000     116.692165      37.040033     -75.407249
  600.000   -2388.752170   -2388.673839   -2388.909969     246.956560     246.956000     125.136165      49.153486     -99.020450
  700.000   -2388.752170   -2388.653378   -2388.950927     266.735676     266.736000     131.343165      61.992968    -124.722005
  800.000   -2388.752170   -2388.632061   -2388.994880     284.590688     284.590000     135.964165      75.369599    -152.302952
  900.000   -2388.752170   -2388.610103   -2389.041546     300.816441     300.816000     139.467165      89.148463    -181.586334
 1000.000   -2388.752170   -2388.587653   -2389.090683     315.656355     315.656000     142.175165     103.236063    -212.420293
 1100.000   -2388.752170   -2388.564819   -2389.142089     329.311543     329.311000     144.307165     117.564626    -244.678072
 1200.000   -2388.752170   -2388.541681   -2389.195587     341.943795     341.943000     146.015165     132.083952    -278.248602
 1300.000   -2388.752170   -2388.518298   -2389.251026     353.687806     353.687000     147.403165     146.757019    -313.037129
 1400.000   -2388.752170   -2388.494714   -2389.308273     364.654577     364.654000     148.547165     161.556215    -348.960194
 1500.000   -2388.752170   -2388.470963   -2389.367212     374.936807     374.937000     149.501165     176.460205    -385.945005
 1600.000   -2388.752170   -2388.447073   -2389.427741     384.611860     384.611000     150.303165     191.451418    -423.927558
 1700.000   -2388.752170   -2388.423065   -2389.489767     393.744807     393.745000     150.986165     206.516679    -462.849493
 1800.000   -2388.752170   -2388.398956   -2389.553209     402.391833     402.392000     151.570165     221.645317    -502.659983
 1900.000   -2388.752170   -2388.374760   -2389.617994     410.600930     410.600000     152.074165     236.828549    -543.313218
 2000.000   -2388.752170   -2388.350490   -2389.684055     418.412687     418.412000     152.513165     252.058217    -584.767156
