    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1501.945631   -1501.945618   -1501.945667      30.747990      31.053000       7.949165       0.008158      -0.022590
  100.000   -1501.945631   -1501.942581   -1501.956580      87.845125      87.845000      30.295165       1.913906      -6.870607
  200.000   -1501.945631   -1501.936179   -1501.972813     114.941007     114.942000      49.025165       5.931225     -17.056977
  300.000   -1501.945631   -1501.927219   -1501.992979     137.550192     137.548000      62.797165      11.553714     -29.711343
  400.000   -1501.945631   -1501.916329   -1502.016493     157.134779     157.135000      73.412165      18.387298     -44.466614
  500.000   -1501.945631   -1501.903959   -1502.042939     174.422680     174.423000      81.443165      26.149597     -61.061743
  600.000   -1501.945631   -1501.890482   -1502.071985     189.824913     189.825000      87.399165      34.606549     -79.288399
  700.000   -1501.945631   -1501.876185   -1502.103356     203.645820     203.646000      91.806165      43.578059     -98.974015
  800.000   -1501.945631   -1501.861280   -1502.136820     216.130132     216.130000      95.097165      52.931096    -119.973009
  900.000   -1501.945631   -1501.845918   -1502.172181     227.481439     227.481000      97.590165      62.570905    -142.162390
 1000.000   -1501.945631   -1501.830207   -1502.209272     237.867078     237.867000      99.510165      72.429714    -165.437364
 1100.000   -1501.945631   -1501.814225   -1502.247950     247.424341     247.424000     101.010165      82.458579    -189.708196
 1200.000   -1501.945631   -1501.798029   -1502.288093     256.266717     256.266000     102.201165      92.621731    -214.898330
 1300.000   -1501.945631   -1501.781663   -1502.329594     264.486294     264.486000     103.160165     102.891560    -240.940622
 1400.000   -1501.945631   -1501.765159   -1502.372361     272.160948     272.161000     103.941165     113.247985    -267.777342
 1500.000   -1501.945631   -1501.748542   -1502.416312     279.354902     279.355000     104.585165     123.675318    -295.357034
 1600.000   -1501.945631   -1501.731831   -1502.461375     286.122597     286.122000     105.122165     134.161638    -323.634517
 1700.000   -1501.945631   -1501.715042   -1502.507485     292.509357     292.509000     105.573165     144.696903    -352.569004
 1800.000   -1501.945631   -1501.698187   -1502.554585     298.554616     298.554000     105.956165     155.273584    -382.124725
 1900.000   -1501.945631   -1501.681275   -1502.602624     304.292479     304.292000     106.284165     165.886034    -412.269677
 2000.000   -1501.945631   -1501.664314   -1502.651554     309.751486     309.751000     106.566165     176.529231    -442.973742
