    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1364.608156   -1364.608143   -1364.608191      30.120480      30.031000       7.949165       0.008158      -0.021963
  100.000   -1364.608156   -1364.605469   -1364.618571      82.216360      82.213000      26.932165       1.686119      -6.535517
  200.000   -1364.608156   -1364.599665   -1364.633685     106.739451     106.741000      44.895165       5.328187     -16.019703
  300.000   -1364.608156   -1364.591422   -1364.652394     127.535132     127.536000      57.966165      10.500752     -27.759787
  400.000   -1364.608156   -1364.581346   -1364.674193     145.656052     145.655000      68.044165      16.823543     -41.438878
  500.000   -1364.608156   -1364.569865   -1364.698708     161.700542     161.700000      75.666165      24.027985     -56.822286
  600.000   -1364.608156   -1364.557335   -1364.725638     176.019693     176.019000      81.300165      31.890686     -73.721130
  700.000   -1364.608156   -1364.544031   -1364.754731     188.880510     188.880000      85.459165      40.239079     -91.977278
  800.000   -1364.608156   -1364.530153   -1364.785772     200.504348     200.504000      88.570165      48.947663    -111.455816
  900.000   -1364.608156   -1364.515842   -1364.818580     211.079025     211.079000      90.941165      57.927958    -132.043164
 1000.000   -1364.608156   -1364.501196   -1364.853000     220.760528     220.760000      92.785165      67.118470    -153.642058
 1100.000   -1364.608156   -1364.486289   -1364.888900     229.674935     229.675000      94.247165      76.472761    -176.169667
 1200.000   -1364.608156   -1364.471173   -1364.926167     237.927737     237.928000      95.426165      85.958202    -199.555083
 1300.000   -1364.608156   -1364.455886   -1364.964702     245.605483     245.605000      96.392165      95.550948    -223.736180
 1400.000   -1364.608156   -1364.440459   -1365.004420     252.779405     252.779000      97.193165     105.231544    -248.659623
 1500.000   -1364.608156   -1364.424916   -1365.045244     259.508016     259.508000      97.864165     114.984932    -274.277091
 1600.000   -1364.608156   -1364.409273   -1365.087109     265.843043     265.843000      98.433165     124.801071    -300.547797
 1700.000   -1364.608156   -1364.393547   -1365.129955     271.825520     271.825000      98.919165     134.669294    -327.434090
 1800.000   -1364.608156   -1364.377749   -1365.173729     277.491894     277.491000      99.338165     144.582697    -354.902713
 1900.000   -1364.608156   -1364.361889   -1365.218382     282.872591     282.872000      99.701165     154.535005    -382.922917
 2000.000   -1364.608156   -1364.345975   -1365.263872     287.994773     287.995000     100.017165     164.521199    -411.468347
