    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1264.160239   -1264.160227   -1264.160274      29.492970      29.453000       7.949165       0.007530      -0.021963
  100.000   -1264.160239   -1264.157579   -1264.170597      81.689252      81.688000      25.651165       1.669177      -6.499749
  200.000   -1264.160239   -1264.152202   -1264.185496     104.461590     104.462000      41.044165       5.043298     -15.849020
  300.000   -1264.160239   -1264.144708   -1264.203690     123.372649     123.371000      52.498165       9.745858     -27.265937
  400.000   -1264.160239   -1264.135606   -1264.224683     139.741771     139.741000      61.341165      15.457454     -40.439254
  500.000   -1264.160239   -1264.125272   -1264.248126     154.184227     154.184000      68.035165      21.942142     -55.149971
  600.000   -1264.160239   -1264.114014   -1264.273741     167.050483     167.051000      73.006165      29.006650     -71.223640
  700.000   -1264.160239   -1264.102071   -1264.301298     178.595621     178.596000      76.691165      36.501002     -88.515933
  800.000   -1264.160239   -1264.089620   -1264.330604     189.024837     189.025000      79.448165      44.314129    -106.905741
  900.000   -1264.160239   -1264.076785   -1264.361494     198.508605     198.509000      81.540165      52.368220    -126.289525
 1000.000   -1264.160239   -1264.063657   -1264.393830     207.186859     207.187000      83.152165      60.606171    -146.580688
 1100.000   -1264.160239   -1264.050301   -1264.427492     215.173749     215.174000      84.415165      68.987194    -167.703930
 1200.000   -1264.160239   -1264.036766   -1264.462379     222.563678     222.563000      85.417165      77.480542    -189.595871
 1300.000   -1264.160239   -1264.023087   -1264.498400     229.433585     229.434000      86.225165      86.064252    -212.199409
 1400.000   -1264.160239   -1264.009292   -1264.535480     235.848737     235.848000      86.884165      94.720752    -235.467480
 1500.000   -1264.160239   -1263.995401   -1264.573549     241.862434     241.862000      87.427165     103.437493    -259.356158
 1600.000   -1264.160239   -1263.981432   -1264.612547     247.519359     247.519000      87.880165     112.203181    -283.827793
 1700.000   -1264.160239   -1263.967396   -1264.652421     252.858846     252.859000      88.262165     121.010911    -308.849127
 1800.000   -1264.160239   -1263.953304   -1264.693123     257.913234     257.913000      88.585165     129.853782    -334.390039
 1900.000   -1264.160239   -1263.939164   -1264.734610     262.710694     262.710000      88.862165     138.726773    -360.423546
 2000.000   -1264.160239   -1263.924984   -1264.776842     267.274707     267.275000      89.101165     147.624865    -386.924549
