    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1437.610732   -1437.610720   -1437.610765      28.237950      28.698000       7.949165       0.007530      -0.020708
  100.000   -1437.610732   -1437.608331   -1437.620838      78.482676      78.483000      23.025165       1.506652      -6.341616
  200.000   -1437.610732   -1437.603398   -1437.635059      99.337971      99.337000      38.053165       4.602158     -15.265436
  300.000   -1437.610732   -1437.596431   -1437.652326     116.915571     116.915000      48.849165       8.974021     -26.100651
  400.000   -1437.610732   -1437.587966   -1437.672198     132.141056     132.140000      57.010165      14.285893     -38.570530
  500.000   -1437.610732   -1437.578370   -1437.694346     145.552200     145.551000      63.116165      20.307479     -52.468621
  600.000   -1437.610732   -1437.567936   -1437.718509     157.476772     157.477000      67.606165      26.854918     -67.631145
  700.000   -1437.610732   -1437.556885   -1437.744471     168.160130     168.160000      70.916165      33.789531     -83.922560
  800.000   -1437.610732   -1437.545377   -1437.772049     177.798683     177.799000      73.393165      41.010916    -101.228031
  900.000   -1437.610732   -1437.533524   -1437.801092     186.557329     186.557000      75.285165      48.448792    -119.452804
 1000.000   -1437.610732   -1437.521404   -1437.831469     194.568888     194.569000      76.763165      56.054213    -138.514675
 1100.000   -1437.610732   -1437.509074   -1437.863071     201.942416     201.942000      77.939165      63.791412    -158.345246
 1200.000   -1437.610732   -1437.496575   -1437.895803     208.766302     208.766000      78.891165      71.634659    -178.884903
 1300.000   -1437.610732   -1437.483939   -1437.929584     215.112842     215.113000      79.675165      79.563875    -200.082819
 1400.000   -1437.610732   -1437.471188   -1437.964342     221.042190     221.042000      80.328165      87.565255    -221.893811
 1500.000   -1437.610732   -1437.458342   -1438.000015     226.603483     226.603000      80.877165      95.626249    -244.278975
 1600.000   -1437.610732   -1437.445415   -1438.036548     231.838668     231.838000      81.345165     103.738071    -267.203798
 1700.000   -1437.610732   -1437.432419   -1438.073891     236.782409     236.782000      81.745165     111.893191    -290.636904
 1800.000   -1437.610732   -1437.419364   -1438.112001     241.464802     241.465000      82.091165     120.085334    -314.551310
 1900.000   -1437.610732   -1437.406258   -1438.150838     245.911261     245.911000      82.392165     128.309480    -338.921916
 2000.000   -1437.610732   -1437.393106   -1438.190367     250.144625     250.144000      82.655165     136.562491    -363.726759
