    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -413.464968    -413.464955    -413.464985      18.825300      18.960000       7.949165       0.008158      -0.010668
  100.000    -413.464968    -413.463659    -413.472566      55.892316      55.895000       9.055165       0.821411      -4.767821
  200.000    -413.464968    -413.461923    -413.482095      63.290659      63.292000      12.908165       1.910768     -10.747364
  300.000    -413.464968    -413.459554    -413.492669      69.266645      69.266000      16.705165       3.397339     -17.382655
  400.000    -413.464968    -413.456639    -413.504133      74.507400      74.508000      19.753165       5.226531     -24.576429
  500.000    -413.464968    -413.453298    -413.516386      79.176702      79.176000      22.061165       7.323042     -32.265309
  600.000    -413.464968    -413.449639    -413.529342      83.357383      83.357000      23.771165       9.619101     -40.395329
  700.000    -413.464968    -413.445745    -413.542931      87.121696      87.122000      25.045165      12.062625     -48.922562
  800.000    -413.464968    -413.441673    -413.557091      90.532436      90.532000      26.016165      14.617845     -57.808104
  900.000    -413.464968    -413.437464    -413.571770      93.642620      93.642000      26.777165      17.259035     -67.019323
 1000.000    -413.464968    -413.433146    -413.586923      96.496605      96.496000      27.389165      19.968623     -76.527982
 1100.000    -413.464968    -413.428740    -413.602513      99.131177      99.131000      27.893165      22.733432     -86.310863
 1200.000    -413.464968    -413.424261    -413.618508     101.576612     101.577000      28.315165      25.544050     -96.347885
 1300.000    -413.464968    -413.419719    -413.634879     103.857732     103.858000      28.673165      28.394200    -106.620852
 1400.000    -413.464968    -413.415124    -413.651602     105.994507     105.994000      28.981165      31.277608    -117.114701
 1500.000    -413.464968    -413.410484    -413.668655     108.003256     108.003000      29.247165      34.189255    -127.815629
 1600.000    -413.464968    -413.405804    -413.686019     109.898572     109.898000      29.479165      37.126002    -138.711713
 1700.000    -413.464968    -413.401090    -413.703677     111.691981     111.692000      29.683165      40.084084    -149.792285
 1800.000    -413.464968    -413.396345    -413.721613     113.393846     113.394000      29.862165      43.061619    -161.047304
 1900.000    -413.464968    -413.391573    -413.739813     115.012675     115.012000      30.021165      46.056096    -172.467986
 2000.000    -413.464968    -413.386778    -413.758265     116.555904     116.556000      30.161165      49.065007    -184.046800
