    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -813.808305    -813.808292    -813.808332      25.100400      25.312000       7.949165       0.008158      -0.016943
  100.000    -813.808305    -813.806389    -813.817452      69.421431      69.425000      16.593165       1.202309      -5.739834
  200.000    -813.808305    -813.803005    -813.829709      83.785135      83.785000      25.559165       3.325803     -13.431224
  300.000    -813.808305    -813.798340    -813.844023      95.555131      95.556000      32.751165       6.253137     -22.413402
  400.000    -813.808305    -813.792634    -813.860085     105.815443     105.816000      38.646165       9.833709     -32.492468
  500.000    -813.808305    -813.786089    -813.877690     114.961087     114.960000      43.287165      13.940762     -43.539781
  600.000    -813.808305    -813.778896    -813.896676     123.180213     123.180000      46.819165      18.454442     -55.453686
  700.000    -813.808305    -813.771213    -813.916908     130.607242     130.607000      49.491165      23.275601     -68.149469
  800.000    -813.808305    -813.763156    -813.938267     137.354880     137.355000      51.532165      28.331449     -81.552455
  900.000    -813.808305    -813.754812    -813.960655     143.520601     143.520000      53.117165      33.567392     -95.601148
 1000.000    -813.808305    -813.746244    -813.983983     149.183600     149.184000      54.367165      38.943898    -110.239702
 1100.000    -813.808305    -813.737498    -814.008179     154.413668     154.414000      55.369165      44.432101    -125.422934
 1200.000    -813.808305    -813.728607    -814.033178     159.267790     159.268000      56.183165      50.011292    -141.110056
 1300.000    -813.808305    -813.719599    -814.058924     163.792178     163.792000      56.852165      55.663902    -157.265929
 1400.000    -813.808305    -813.710493    -814.085367     168.026560     168.026000      57.408165      61.378008    -173.859176
 1500.000    -813.808305    -813.701306    -814.112464     172.003838     172.004000      57.875165      67.142942    -190.862814
 1600.000    -813.808305    -813.692051    -814.140176     175.751824     175.752000      58.270165      72.950548    -208.252371
 1700.000    -813.808305    -813.682737    -814.168468     179.294741     179.295000      58.608165      78.795176    -226.005884
 1800.000    -813.808305    -813.673374    -814.197311     182.653170     182.653000      58.898165      84.670552    -244.105155
 1900.000    -813.808305    -813.663967    -814.226675     185.844683     185.844000      59.148165      90.573538    -262.531359
 2000.000    -813.808305    -813.654524    -814.256535     188.883961     188.884000      59.367165      96.499115    -281.268807
