    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -613.407123    -613.407110    -613.407150      25.100400      25.123000       7.949165       0.008158      -0.016943
  100.000    -613.407123    -613.405310    -613.416163      68.103660      68.100000      14.195165       1.137676      -5.672690
  200.000    -613.407123    -613.402605    -613.427987      79.637294      79.639000      19.897165       2.835090     -13.092369
  300.000    -613.407123    -613.398994    -613.441425      88.752923      88.754000      25.247165       5.101029     -21.524848
  400.000    -613.407123    -613.394620    -613.456209      96.619283      96.621000      29.457165       7.845758     -30.801956
  500.000    -613.407123    -613.389661    -613.472170     103.550445     103.551000      32.618165      10.957580     -40.817643
  600.000    -613.407123    -613.384267    -613.489172     109.714894     109.715000      34.958165      14.342369     -51.486568
  700.000    -613.407123    -613.378551    -613.507105     115.241315     115.241000      36.695165      17.929216     -62.739705
  800.000    -613.407123    -613.372594    -613.525874     120.230916     120.230000      37.998165      21.667293     -74.517440
  900.000    -613.407123    -613.366457    -613.545401     124.765722     124.766000      38.990165      25.518322     -86.770828
 1000.000    -613.407123    -613.360180    -613.565619     128.915027     128.915000      39.756165      29.457202     -99.457825
 1100.000    -613.407123    -613.353794    -613.586471     132.733768     132.733000      40.358165      33.464481    -112.542663
 1200.000    -613.407123    -613.347323    -613.607908     136.266411     136.266000      40.837165      37.525098    -125.994595
 1300.000    -613.407123    -613.340783    -613.629888     139.550984     139.551000      41.223165      41.629013    -139.787265
 1400.000    -613.407123    -613.334188    -613.652374     142.617783     142.618000      41.538165      45.767442    -153.897455
 1500.000    -613.407123    -613.327547    -613.675333     145.492795     145.493000      41.799165      49.934736    -168.304457
 1600.000    -613.407123    -613.320868    -613.698737     148.197860     148.198000      42.016165      54.125875    -182.990701
 1700.000    -613.407123    -613.314157    -613.722559     150.750788     150.750000      42.200165      58.337095    -197.939244
 1800.000    -613.407123    -613.307420    -613.746777     153.167173     153.167000      42.355165      62.564630    -213.136282
 1900.000    -613.407123    -613.300659    -613.771370     155.460979     155.461000      42.488165      66.807225    -228.568635
 2000.000    -613.407123    -613.293879    -613.796319     157.643062     157.643000      42.603165      71.061742    -244.224382
