    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -613.396501    -613.396488    -613.396528      25.100400      24.971000       7.949165       0.008158      -0.016943
  100.000    -613.396501    -613.394829    -613.405290      65.643821      65.647000      13.923165       1.049197      -5.515185
  200.000    -613.396501    -613.392073    -613.416733      77.371983      77.371000      20.436165       2.778614     -12.695782
  300.000    -613.396501    -613.388391    -613.429826      86.669590      86.670000      25.571165       5.089106     -20.911771
  400.000    -613.396501    -613.383982    -613.444285      94.601839      94.600000      29.582165       7.855798     -29.984938
  500.000    -613.396501    -613.379013    -613.459925     101.546178     101.547000      32.646165      10.973895     -39.799194
  600.000    -613.396501    -613.373618    -613.476608     107.712092     107.712000      34.946165      14.359311     -50.267944
  700.000    -613.396501    -613.367905    -613.494221     113.235076     113.235000      36.669165      17.944276     -61.320277
  800.000    -613.396501    -613.361953    -613.512670     118.220531     118.220000      37.969165      21.679215     -72.897209
  900.000    -613.396501    -613.355820    -613.531876     122.752112     122.752000      38.961165      25.527734     -84.949166
 1000.000    -613.396501    -613.349547    -613.551773     126.898837     126.899000      39.730165      29.464105     -97.434733
 1100.000    -613.396501    -613.343166    -613.572304     130.714897     130.715000      40.334165      33.468246    -110.318141
 1200.000    -613.396501    -613.336698    -613.593419     134.245829     134.246000      40.815165      37.526981    -123.568014
 1300.000    -613.396501    -613.330162    -613.615077     137.528471     137.529000      41.204165      41.628386    -137.158626
 1400.000    -613.396501    -613.323569    -613.637241     140.594512     140.594000      41.522165      45.765559    -151.066757
 1500.000    -613.396501    -613.316931    -613.659878     143.468448     143.468000      41.784165      49.930971    -165.271701
 1600.000    -613.396501    -613.310254    -613.682958     146.172179     146.172000      42.003165      54.120855    -179.754632
 1700.000    -613.396501    -613.303546    -613.706457     148.723930     148.724000      42.188165      58.330192    -194.500490
 1800.000    -613.396501    -613.296810    -613.730352     151.139967     151.140000      42.344165      62.557099    -209.494841
 1900.000    -613.396501    -613.290051    -613.754622     153.433131     153.433000      42.478165      66.798439    -224.724509
 2000.000    -613.396501    -613.283272    -613.779249     155.615264     155.615000      42.594165      71.052330    -240.178197
