    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -526.782501    -526.782489    -526.782524      21.962850      21.994000       7.949165       0.007530      -0.014433
  100.000    -526.782501    -526.781156    -526.790593      59.218119      59.216000       9.976165       0.844001      -5.077811
  200.000    -526.782501    -526.779123    -526.800743      67.833831      67.834000      15.624165       2.119729     -11.447037
  300.000    -526.782501    -526.776209    -526.812150      75.177790      75.177000      20.776165       3.948293     -18.605044
  400.000    -526.782501    -526.772557    -526.824663      81.742590      81.742000      24.893165       6.239959     -26.457077
  500.000    -526.782501    -526.768326    -526.838168      87.653107      87.654000      28.063165       8.894954     -34.931599
  600.000    -526.782501    -526.763653    -526.852569      92.992799      92.993000      30.467165      11.827308     -43.968371
  700.000    -526.782501    -526.758645    -526.867780      97.833291      97.833000      32.297165      14.969879     -53.513425
  800.000    -526.782501    -526.753381    -526.883728     102.242557     102.242000      33.712165      18.273091     -63.520955
  900.000    -526.782501    -526.747917    -526.900347     106.279277     106.280000      34.826165      21.701806     -73.949543
 1000.000    -526.782501    -526.742293    -526.917584     109.996855     109.997000      35.722165      25.230922     -84.765933
 1100.000    -526.782501    -526.736540    -526.935391     113.437265     113.437000      36.454165      28.840987     -95.940004
 1200.000    -526.782501    -526.730681    -526.953726     116.635807     116.636000      37.062165      32.517568    -107.445400
 1300.000    -526.782501    -526.724733    -526.972554     119.623197     119.623000      37.574165      36.249998    -119.260158
 1400.000    -526.782501    -526.718709    -526.991842     122.424063     122.424000      38.008165      40.030118    -131.363571
 1500.000    -526.782501    -526.712622    -527.011564     125.059396     125.059000      38.380165      43.849771    -143.739323
 1600.000    -526.782501    -526.706479    -527.031694     127.547290     127.547000      38.701165      47.704565    -156.371099
 1700.000    -526.782501    -526.700289    -527.052209     129.901952     129.902000      38.980165      51.588852    -169.244467
 1800.000    -526.782501    -526.694058    -527.073090     132.136872     132.137000      39.223165      55.498867    -182.347503
 1900.000    -526.782501    -526.687789    -527.094318     134.263691     134.263000      39.437165      59.432727    -195.668286
 2000.000    -526.782501    -526.681489    -527.115877     136.291407     136.291000      39.626165      63.386040    -209.196774
