    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1053.591504   -1053.591492   -1053.591539      29.492970      29.415000       7.949204       0.007530      -0.021963
  100.000   -1053.591504   -1053.588627   -1053.602373      86.257525      86.255000      25.440204       1.805346      -6.820406
  200.000   -1053.591504   -1053.583637   -1053.617899     107.498738     107.496000      37.006204       4.936621     -16.563126
  300.000   -1053.591504   -1053.576909   -1053.636419     124.477067     124.476000      47.161204       9.158508     -28.184612
  400.000   -1053.591504   -1053.568698   -1053.657456     139.241331     139.240000      55.585204      14.310993     -41.385540
  500.000   -1053.591504   -1053.559286   -1053.680712     152.392059     152.392000      62.262204      20.217117     -55.978912
  600.000   -1053.591504   -1053.548935   -1053.705956     164.220413     164.221000      67.430204      26.712473     -71.819775
  700.000   -1053.591504   -1053.537857   -1053.732993     174.928273     174.928000      71.425204      33.664029     -88.785762
  800.000   -1053.591504   -1053.526216   -1053.761658     184.677762     184.678000      74.545204      40.968873    -106.773337
  900.000   -1053.591504   -1053.514133   -1053.791810     193.605660     193.606000      77.016204      48.551076    -125.694018
 1000.000   -1053.591504   -1053.501695   -1053.823327     201.827296     201.827000      79.004204      56.356046    -145.471251
 1100.000   -1053.591504   -1053.488972   -1053.856104     209.435456     209.435000      80.623204      64.339855    -166.039146
 1200.000   -1053.591504   -1053.476014   -1053.890050     216.509775     216.510000      81.958204      72.471130    -187.340600
 1300.000   -1053.591504   -1053.462862   -1053.925085     223.115042     223.115000      83.070204      80.724141    -209.325413
 1400.000   -1053.591504   -1053.449547   -1053.961139     229.306497     229.306000      84.004204      89.079437    -231.949659
 1500.000   -1053.591504   -1053.436096   -1053.998150     235.129670     235.130000      84.796204      97.520074    -255.174431
 1600.000   -1053.591504   -1053.422527   -1054.036062     240.624592     240.625000      85.473204     106.034757    -278.964591
 1700.000   -1053.591504   -1053.408859   -1054.074826     245.824090     245.824000      86.054204     114.611564    -303.289388
 1800.000   -1053.591504   -1053.395104   -1054.114397     250.757528     250.757000      86.557204     123.242964    -328.120586
 1900.000   -1053.591504   -1053.381275   -1054.154735     255.449413     255.449000      86.995204     131.920800    -353.433085
 2000.000   -1053.591504   -1053.367380   -1054.195803     259.921858     259.922000      87.378204     140.640051    -379.203665
