    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1053.586456   -1053.586444   -1053.586491      29.492970      29.627000       7.949204       0.007530      -0.021963
  100.000   -1053.586456   -1053.583333   -1053.597765      90.562243      90.563000      26.600204       1.959714      -7.096511
  200.000   -1053.586456   -1053.578181   -1053.614042     112.515681     112.517000      38.001204       5.192645     -17.310491
  300.000   -1053.586456   -1053.571287   -1053.633398     129.917579     129.917000      48.231204       9.518699     -29.456574
  400.000   -1053.586456   -1053.562908   -1053.655327     144.984617     144.985000      56.605204      14.776605     -43.217241
  500.000   -1053.586456   -1053.553344   -1053.679517     158.349638     158.350000      63.145204      20.778111     -58.396708
  600.000   -1053.586456   -1053.542864   -1053.705723     170.326085     170.326000      68.147204      27.354416     -74.841235
  700.000   -1053.586456   -1053.531686   -1053.733741     181.130761     181.131000      71.977204      34.368723     -92.422810
  800.000   -1053.586456   -1053.519969   -1053.763401     190.945018     190.944000      74.949204      41.721257    -111.034757
  900.000   -1053.586456   -1053.507831   -1053.794555     199.913530     199.913000      77.295204      49.337974    -130.584203
 1000.000   -1053.586456   -1053.495358   -1053.827079     208.158245     208.158000      79.181204      57.164906    -150.993339
 1100.000   -1053.586456   -1053.482613   -1053.860866     215.779582     215.779000      80.720204      65.162521    -172.195019
 1200.000   -1053.586456   -1053.469645   -1053.895823     222.859131     222.859000      81.995204      73.300071    -194.130886
 1300.000   -1053.586456   -1053.456491   -1053.931870     229.465443     229.466000      83.061204      81.554337    -216.750739
 1400.000   -1053.586456   -1053.443180   -1053.968936     235.655105     235.655000      83.963204      89.907123    -240.010025
 1500.000   -1053.586456   -1053.429737   -1054.006959     241.475051     241.475000      84.732204      98.342740    -263.869838
 1600.000   -1053.586456   -1053.416180   -1054.045882     246.965189     246.965000      85.392204     106.849893    -288.294409
 1700.000   -1053.586456   -1053.402525   -1054.085656     252.159726     252.159000      85.963204     115.418542    -313.252992
 1800.000   -1053.586456   -1053.388786   -1054.126236     257.087361     257.087000      86.459204     124.039902    -338.717348
 1900.000   -1053.586456   -1053.374972   -1054.167582     261.774053     261.774000      86.893204     132.708325    -364.662376
 2000.000   -1053.586456   -1053.361094   -1054.209657     266.240884     266.240000      87.274204     141.416909    -391.064860
