    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1053.577262   -1053.577249   -1053.577297      30.120480      29.941000       7.949204       0.008158      -0.021963
  100.000   -1053.577262   -1053.574228   -1053.588671      90.631269      90.627000      25.263204       1.903865      -7.159262
  200.000   -1053.577262   -1053.569296   -1053.604873     111.624616     111.624000      36.686204       4.998745     -17.326179
  300.000   -1053.577262   -1053.562602   -1053.624042     128.514048     128.513000      46.994204       9.199297     -29.354918
  400.000   -1053.577262   -1053.554425   -1053.645718     143.218176     143.218000      55.300204      14.330446     -42.956825
  500.000   -1053.577262   -1053.545077   -1053.669602     156.281365     156.280000      61.725204      20.196409     -57.944273
  600.000   -1053.577262   -1053.534834   -1053.695456     167.986519     167.986000      66.611204      26.623994     -74.167917
  700.000   -1053.577262   -1053.523909   -1053.723081     178.546317     178.547000      70.337204      33.479541     -91.502881
  800.000   -1053.577262   -1053.512460   -1053.752311     188.136126     188.135000      73.220204      40.663903    -109.844998
  900.000   -1053.577262   -1053.500604   -1053.783000     196.895904     196.896000      75.493204      48.103662    -129.102652
 1000.000   -1053.577262   -1053.488423   -1053.815028     204.947904     204.948000      77.319204      55.747361    -149.200543
 1100.000   -1053.577262   -1053.475978   -1053.848289     212.389887     212.389000      78.812204      63.556723    -170.072153
 1200.000   -1053.577262   -1053.463317   -1053.882692     219.301672     219.302000      80.050204      71.501627    -191.660379
 1300.000   -1053.577262   -1053.450475   -1053.918160     225.751549     225.751000      81.089204      79.560110    -213.916904
 1400.000   -1053.577262   -1053.437481   -1053.954622     231.793678     231.794000      81.970204      87.713975    -236.797174
 1500.000   -1053.577262   -1053.424356   -1053.992018     237.475721     237.475000      82.724204      95.950044    -260.263538
 1600.000   -1053.577262   -1053.411120   -1054.030293     242.835781     242.836000      83.373204     104.255766    -284.281483
 1700.000   -1053.577262   -1053.397788   -1054.069399     247.907423     247.907000      83.936204     112.621730    -308.820889
 1800.000   -1053.577262   -1053.384372   -1054.109293     252.719543     252.719000      84.427204     121.040404    -333.854773
 1900.000   -1053.577262   -1053.370883   -1054.149934     257.295944     257.296000      84.857204     129.504886    -359.357407
 2000.000   -1053.577262   -1053.357329   -1054.191287     261.658492     261.658000      85.236204     138.010157    -385.306828
