    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1053.574701   -1053.574688   -1053.574736      30.120480      29.985000       7.961204       0.008158      -0.021963
  100.000   -1053.574701   -1053.571564   -1053.586696      94.954813      94.956000      25.443204       1.968499      -7.526982
  200.000   -1053.574701   -1053.566604   -1053.603599     116.073662     116.074000      36.886204       5.080948     -18.133784
  300.000   -1053.574701   -1053.559876   -1053.623485     133.050945     133.051000      47.223204       9.302836     -30.612448
  400.000   -1053.574701   -1053.551663   -1053.645889     147.819393     147.820000      55.514204      14.456575     -44.671182
  500.000   -1053.574701   -1053.542283   -1053.670510     160.927450     160.927000      61.908204      20.342619     -60.121106
  600.000   -1053.574701   -1053.532013   -1053.697107     172.663560     172.663000      66.760204      26.787147     -76.810989
  700.000   -1053.574701   -1053.521067   -1053.725480     183.244574     183.245000      70.455204      33.655871     -94.615330
  800.000   -1053.574701   -1053.509602   -1053.755459     192.847158     192.847000      73.311204      40.850273    -113.427453
  900.000   -1053.574701   -1053.497733   -1053.786900     201.616871     201.617000      75.562204      48.298190    -133.156994
 1000.000   -1053.574701   -1053.485542   -1053.819680     209.674936     209.675000      77.371204      55.948164    -153.726772
 1100.000   -1053.574701   -1053.473091   -1053.853695     217.120742     217.121000      78.850204      63.761291    -175.071525
 1200.000   -1053.574701   -1053.460425   -1053.888853     224.035712     224.036000      80.077204      71.709333    -197.133522
 1300.000   -1053.574701   -1053.447579   -1053.925075     230.487319     230.487000      81.107204      79.770326    -219.863189
 1400.000   -1053.574701   -1053.434582   -1053.962292     236.530930     236.531000      81.982204      87.926074    -243.217228
 1500.000   -1053.574701   -1053.421457   -1054.000443     242.213003     242.213000      82.730204      96.162142    -267.157362
 1600.000   -1053.574701   -1053.408220   -1054.039473     247.573481     247.573000      83.375204     104.468492    -291.649078
 1700.000   -1053.574701   -1053.394888   -1054.079335     252.645492     252.645000      83.935204     112.834456    -316.662881
 1800.000   -1053.574701   -1053.381472   -1054.119983     257.457243     257.457000      84.424204     121.253130    -342.169908
 1900.000   -1053.574701   -1053.367983   -1054.161379     262.033644     262.033000      84.853204     129.717612    -368.146312
 2000.000   -1053.574701   -1053.354430   -1054.203487     266.395879     266.396000      85.231204     138.222255    -394.569503
