    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1053.572536   -1053.572523   -1053.572572      30.747990      30.248000       8.112204       0.008158      -0.022590
  100.000   -1053.572536   -1053.569317   -1053.585072      98.864201      98.861000      25.623204       2.019955      -7.866465
  200.000   -1053.572536   -1053.564330   -1053.602607     120.096001     120.096000      37.065204       5.149347     -18.869853
  300.000   -1053.572536   -1053.557573   -1053.623140     137.146494     137.146000      47.397204       9.389432     -31.754516
  400.000   -1053.572536   -1053.549334   -1053.646201     151.962528     151.962000      55.657204      14.559487     -46.225524
  500.000   -1053.572536   -1053.539935   -1053.671484     165.096626     165.097000      62.019204      20.457454     -62.090859
  600.000   -1053.572536   -1053.529649   -1053.698747     176.851143     176.851000      66.844204      26.912021     -79.198665
  700.000   -1053.572536   -1053.518691   -1053.727789     187.444409     187.444000      70.518204      33.788276     -97.422810
  800.000   -1053.572536   -1053.507218   -1053.758437     197.053043     197.053000      73.358204      40.987698    -116.654737
  900.000   -1053.572536   -1053.495342   -1053.790549     205.828161     205.828000      75.595204      48.440007    -136.805338
 1000.000   -1053.572536   -1053.483147   -1053.824001     213.889294     213.889000      77.394204      56.092491    -157.796802
 1100.000   -1053.572536   -1053.470693   -1053.858687     221.336468     221.337000      78.864204      63.907501    -179.562614
 1200.000   -1053.572536   -1053.458025   -1053.894517     228.252579     228.253000      80.085204      71.856798    -202.046297
 1300.000   -1053.572536   -1053.445178   -1053.931411     234.704669     234.705000      81.111204      79.918419    -225.197651
 1400.000   -1053.572536   -1053.432181   -1053.969301     240.748694     240.748000      81.981204      88.074166    -248.974005
 1500.000   -1053.572536   -1053.419056   -1054.008124     246.430707     246.430000      82.727204      96.310235    -273.335826
 1600.000   -1053.572536   -1053.405820   -1054.047826     251.790741     251.791000      83.370204     104.615957    -298.249228
 1700.000   -1053.572536   -1053.392488   -1054.088359     256.862360     256.862000      83.929204     112.981920    -323.684091
 1800.000   -1053.572536   -1053.379074   -1054.129679     261.673413     261.673000      84.417204     121.399340    -349.612804
 1900.000   -1053.572536   -1053.365586   -1054.171747     266.249521     266.249000      84.845204     129.863195    -376.010895
 2000.000   -1053.572536   -1053.352035   -1054.214527     270.611177     270.611000      85.222204     138.366583    -402.855772
