    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -550.801893    -550.801880    -550.801915      21.962850      22.058000       7.949165       0.008158      -0.013805
  100.000    -550.801893    -550.800317    -550.810221      62.148590      62.151000      12.015165       0.988956      -5.225903
  200.000    -550.801893    -550.797989    -550.820959      72.069523      72.068000      17.171165       2.449799     -11.964106
  300.000    -550.801893    -550.794883    -550.833087      79.911307      79.910000      21.654165       4.398845     -19.574547
  400.000    -550.801893    -550.791139    -550.846370      86.645012      86.645000      25.183165       6.748243     -27.909762
  500.000    -550.801893    -550.786902    -550.860659      92.566510      92.567000      27.864165       9.407002     -36.876253
  600.000    -550.801893    -550.782293    -550.875838      97.834038      97.834000      29.875165      12.299196     -46.401227
  700.000    -550.801893    -550.777406    -550.891812     102.558442     102.558000      31.387165      15.365837     -56.425072
  800.000    -550.801893    -550.772309    -550.908501     106.827302     106.827000      32.535165      18.564256     -66.897586
  900.000    -550.801893    -550.767051    -550.925840     110.712984     110.713000      33.418165      21.863703     -77.777982
 1000.000    -550.801893    -550.761668    -550.943770     114.270826     114.271000      34.105165      25.241590     -89.029236
 1100.000    -550.801893    -550.756188    -550.962245     117.548026     117.548000      34.649165      28.680345    -100.622484
 1200.000    -550.801893    -550.750631    -550.981222     120.581799     120.582000      35.084165      32.167418    -112.530741
 1300.000    -550.801893    -550.745011    -551.000666     123.404669     123.405000      35.437165      35.694024    -124.732045
 1400.000    -550.801893    -550.739339    -551.020544     126.042107     126.042000      35.727165      39.253261    -137.205689
 1500.000    -550.801893    -550.733626    -551.040829     128.515303     128.515000      35.966165      42.838225    -149.934729
 1600.000    -550.801893    -550.727878    -551.061497     130.843287     130.843000      36.167165      46.445153    -162.904106
 1700.000    -550.801893    -550.722101    -551.082524     133.040610     133.041000      36.337165      50.070278    -176.098759
 1800.000    -550.801893    -550.716298    -551.103893     135.122077     135.122000      36.481165      53.711718    -189.508020
 1900.000    -550.801893    -550.710475    -551.125585     137.097724     137.098000      36.604165      57.365709    -203.119967
 2000.000    -550.801893    -550.704633    -551.147584     138.978091     138.978000      36.711165      61.031623    -216.924559
