    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -942.166214    -942.166202    -942.166240      23.845380      23.933000       7.949165       0.007530      -0.016315
  100.000    -942.166214    -942.164561    -942.174816      64.351150      64.354000      14.193165       1.037274      -5.397841
  200.000    -942.166214    -942.161564    -942.186115      77.029990      77.030000      23.099165       2.917921     -12.488077
  300.000    -942.166214    -942.157324    -942.199265      87.727990      87.728000      29.791165       5.578564     -20.739833
  400.000    -942.166214    -942.152155    -942.214002      97.024027      97.023000      34.839165       8.822163     -29.987448
  500.000    -942.166214    -942.146286    -942.230130     105.225897     105.226000      38.640165      12.505019     -40.107929
  600.000    -942.166214    -942.139891    -942.247492     112.534506     112.535000      41.480165      16.517946     -51.002758
  700.000    -942.166214    -942.133102    -942.265958     119.097812     119.098000      43.628165      20.778111     -62.590357
  800.000    -942.166214    -942.126011    -942.285418     125.036858     125.036000      45.292165      25.227785     -74.801702
  900.000    -942.166214    -942.118684    -942.305781     130.450265     130.450000      46.617165      29.825550     -87.579688
 1000.000    -942.166214    -942.111166    -942.326971     135.419796     135.420000      47.697165      34.543170    -100.876625
 1100.000    -942.166214    -942.103492    -942.348922     140.008890     140.009000      48.596165      39.358682    -114.651097
 1200.000    -942.166214    -942.095685    -942.371578     144.271347     144.271000      49.355165      44.257653    -128.867964
 1300.000    -942.166214    -942.087767    -942.394889     148.247789     148.248000      50.003165      49.226277    -143.495849
 1400.000    -942.166214    -942.079753    -942.418814     151.974406     151.974000      50.562165      54.255142    -158.509026
 1500.000    -942.166214    -942.071656    -942.443315     155.479826     155.480000      51.046165      59.336091    -173.883649
 1600.000    -942.166214    -942.063487    -942.468358     158.787876     158.788000      51.468165      64.462220    -189.598381
 1700.000    -942.166214    -942.055255    -942.493914     161.919358     161.920000      51.838165      69.627882    -205.635027
 1800.000    -942.166214    -942.046967    -942.519957     164.892197     164.892000      52.164165      74.828685    -221.977270
 1900.000    -942.166214    -942.038631    -942.546461     167.720212     167.720000      52.452165      80.059608    -238.608795
 2000.000    -942.166214    -942.030251    -942.573406     170.417597     170.417000      52.708165      85.318142    -255.517052
