    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -962.039536    -962.039523    -962.039561      23.845380      23.923000       7.949165       0.008158      -0.015688
  100.000    -962.039536    -962.037879    -962.048156      64.489203      64.486000      13.976165       1.039784      -5.409136
  200.000    -962.039536    -962.034974    -962.059450      76.794674      76.792000      22.183165       2.862701     -12.496234
  300.000    -962.039536    -962.030925    -962.072523      87.010537      87.010000      28.326165       5.403489     -20.699672
  400.000    -962.039536    -962.026027    -962.087107      95.820777      95.821000      32.927165       8.477033     -29.851278
  500.000    -962.039536    -962.020494    -962.103006     103.554210     103.555000      36.347165      11.949045     -39.828060
  600.000    -962.039536    -962.014491    -962.120066     110.415614     110.415000      38.859165      15.715988     -50.533380
  700.000    -962.039536    -962.008143    -962.138159     116.551915     116.552000      40.719165      19.699421     -61.886919
  800.000    -962.039536    -962.001537    -962.157181     122.085208     122.085000      42.122165      23.844752     -73.823414
  900.000    -962.039536    -961.994735    -962.177044     127.111912     127.112000      43.207165      28.113076     -86.287645
 1000.000    -962.039536    -961.987778    -962.197672     131.710584     131.710000      44.067165      32.478663     -99.231921
 1100.000    -962.039536    -961.980698    -962.219003     135.944337     135.944000      44.764165      36.921433    -112.617337
 1200.000    -962.039536    -961.973517    -962.240983     139.864658     139.865000      45.338165      41.427583    -126.410007
 1300.000    -962.039536    -961.966253    -962.263566     143.512985     143.513000      45.818165      45.985815    -140.581065
 1400.000    -962.039536    -961.958918    -962.286711     146.923847     146.924000      46.224165      50.588601    -155.104784
 1500.000    -962.039536    -961.951523    -962.310383     150.125492     150.125000      46.571165      55.229038    -169.959201
 1600.000    -962.039536    -961.944077    -962.334549     153.140678     153.141000      46.870165      59.901477    -185.123608
 1700.000    -962.039536    -961.936587    -962.359183     155.990127     155.990000      47.129165      64.601527    -200.581689
 1800.000    -962.039536    -961.929058    -962.384259     158.690655     158.690000      47.356165      69.326050    -216.317130
 1900.000    -962.039536    -961.921495    -962.409754     161.256529     161.256000      47.554165      74.071908    -232.315497
 2000.000    -962.039536    -961.913902    -962.435648     163.700416     163.700000      47.729165      78.836591    -248.564241
