    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1002.356730   -1002.356717   -1002.356761      27.610440      27.495000       7.949204       0.008158      -0.019453
  100.000   -1002.356730   -1002.354434   -1002.366528      75.891059      75.890000      21.041204       1.440763      -6.148343
  200.000   -1002.356730   -1002.350044   -1002.380158      94.484181      94.483000      33.593204       4.195532     -14.701304
  300.000   -1002.356730   -1002.343879   -1002.396485     110.035970     110.036000      43.380204       8.064131     -24.946660
  400.000   -1002.356730   -1002.336331   -1002.415124     123.608489     123.609000      51.021204      12.800576     -36.642819
  500.000   -1002.356730   -1002.327713   -1002.435800     135.651347     135.651000      56.854204      18.208458     -49.617216
  600.000   -1002.356730   -1002.318288   -1002.458292     146.423183     146.423000      61.223204      24.122739     -63.731171
  700.000   -1002.356730   -1002.308258   -1002.482411     156.118213     156.118000      64.497204      30.416665     -78.866084
  800.000   -1002.356730   -1002.297773   -1002.508001     164.900215     164.900000      66.981204      36.996107     -94.924065
  900.000   -1002.356730   -1002.286940   -1002.534927     172.904803     172.905000      68.899204      43.793923    -111.820399
 1000.000   -1002.356730   -1002.275835   -1002.563074     180.245345     180.245000      70.410204      50.762421    -129.482923
 1100.000   -1002.356730   -1002.264515   -1002.592344     187.014523     187.015000      71.621204      57.865835    -147.850141
 1200.000   -1002.356730   -1002.253020   -1002.622653     193.290337     193.290000      72.607204      65.079062    -166.869342
 1300.000   -1002.356730   -1002.241382   -1002.653927     199.135471     199.135000      73.421204      72.382023    -186.494089
 1400.000   -1002.356730   -1002.229626   -1002.686102     204.602325     204.602000      74.101204      79.759031    -206.684224
 1500.000   -1002.356730   -1002.217771   -1002.719120     209.734341     209.734000      74.675204      87.198162    -227.403349
 1600.000   -1002.356730   -1002.205830   -1002.752932     214.569985     214.570000      75.164204      94.691259    -248.620717
 1700.000   -1002.356730   -1002.193818   -1002.787494     219.139780     219.139000      75.584204     102.228909    -270.308718
 1800.000   -1002.356730   -1002.181743   -1002.822764     223.470604     223.470000      75.947204     109.806092    -292.440995
 1900.000   -1002.356730   -1002.169615   -1002.858707     227.585327     227.585000      76.263204     117.416534    -314.995587
 2000.000   -1002.356730   -1002.157439   -1002.895289     231.504127     231.504000      76.539204     125.057095    -337.951158
