    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1664.468653   -1664.468640   -1664.468692      32.630520      32.143000       7.949165       0.008158      -0.024473
  100.000   -1664.468653   -1664.465368   -1664.480102      92.457323      92.458000      33.001165       2.061370      -7.184362
  200.000   -1664.468653   -1664.458318   -1664.497288     122.270324     122.268000      54.279165       6.485316     -17.968749
  300.000   -1664.468653   -1664.448383   -1664.518822     147.337256     147.337000      69.689165      12.719628     -31.481549
  400.000   -1664.468653   -1664.436297   -1664.544071     169.073157     169.074000      81.467165      20.303714     -47.325549
  500.000   -1664.468653   -1664.422570   -1664.572574     188.258020     188.258000      90.377165      28.917543     -65.211467
  600.000   -1664.468653   -1664.407614   -1664.603962     205.350556     205.350000      96.991165      38.302583     -84.907751
  700.000   -1664.468653   -1664.391748   -1664.637930     220.688095     220.688000     101.885165      48.258657    -106.223010
  800.000   -1664.468653   -1664.375206   -1664.674221     234.543628     234.543000     105.539165      58.638927    -128.995976
  900.000   -1664.468653   -1664.358157   -1664.712617     247.141327     247.141000     108.304165      69.337345    -153.089850
 1000.000   -1664.468653   -1664.340721   -1664.752933     258.667152     258.667000     110.430165      80.278609    -178.388543
 1100.000   -1664.468653   -1664.322986   -1664.795010     269.272527     269.273000     112.091165      91.407499    -204.792281
 1200.000   -1664.468653   -1664.305014   -1664.838713     279.084550     279.085000     113.408165     102.685109    -232.216351
 1300.000   -1664.468653   -1664.286854   -1664.883924     288.205689     288.205000     114.467165     114.080690    -260.586705
 1400.000   -1664.468653   -1664.268541   -1664.930538     296.721241     296.721000     115.329165     125.572281    -289.837456
 1500.000   -1664.468653   -1664.250104   -1664.978466     304.702959     304.703000     116.039165     137.141683    -319.912756
 1600.000   -1664.468653   -1664.231564   -1665.027628     312.211325     312.211000     116.631165     148.775718    -350.762402
 1700.000   -1664.468653   -1664.212937   -1665.077952     319.297390     319.297000     117.128165     160.464347    -382.341215
 1800.000   -1664.468653   -1664.194236   -1665.129374     326.004692     326.004000     117.550165     172.199412    -414.609035
 1900.000   -1664.468653   -1664.175474   -1665.181838     332.370249     332.370000     117.911165     183.972754    -447.530719
 2000.000   -1664.468653   -1664.156659   -1665.235291     338.426183     338.426000     118.221165     195.779355    -481.073011
