    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1240.142029   -1240.142016   -1240.142063      29.492970      29.409000       7.949204       0.008158      -0.021335
  100.000   -1240.142029   -1240.139376   -1240.152376      81.576300      81.580000      25.582204       1.664784      -6.492846
  200.000   -1240.142029   -1240.133970   -1240.167262     104.455315     104.453000      41.543204       5.057103     -15.833960
  300.000   -1240.142029   -1240.126343   -1240.185479     123.694771     123.694000      53.662204       9.843122     -27.265309
  400.000   -1240.142029   -1240.117009   -1240.206556     140.479095     140.480000      63.081204      15.700300     -40.491338
  500.000   -1240.142029   -1240.106357   -1240.230152     155.365201     155.364000      70.254204      22.384537     -55.298064
  600.000   -1240.142029   -1240.094714   -1240.255990     168.670505     168.671000      75.610204      29.690636     -71.511667
  700.000   -1240.142029   -1240.082331   -1240.283840     180.641304     180.641000      79.606204      37.461092     -88.987821
  800.000   -1240.142029   -1240.069393   -1240.313504     191.477617     191.477000      82.625204      45.579816    -107.602277
  900.000   -1240.142029   -1240.056033   -1240.344816     201.349134     201.349000      84.946204      53.963350    -127.250870
 1000.000   -1240.142029   -1240.042346   -1240.377634     210.396573     210.397000      86.764204      62.552079    -147.844494
 1100.000   -1240.142029   -1240.028399   -1240.411836     218.736865     218.737000      88.214204      71.303961    -169.306591
 1200.000   -1240.142029   -1240.014245   -1240.447317     226.464176     226.464000      89.388204      80.185738    -191.571273
 1300.000   -1240.142029   -1239.999920   -1240.483986     233.658658     233.658000      90.353204      89.174819    -214.581437
 1400.000   -1240.142029   -1239.985456   -1240.521764     240.384738     240.385000      91.156204      98.251123    -238.287510
 1500.000   -1240.142029   -1239.970874   -1240.560580     246.697608     246.697000      91.831204     107.401474    -262.644938
 1600.000   -1240.142029   -1239.956193   -1240.600372     252.642978     252.643000      92.404204     116.613948    -287.614816
 1700.000   -1240.142029   -1239.941427   -1240.641085     258.260230     258.260000      92.894204     125.879761    -313.162631
 1800.000   -1240.142029   -1239.926589   -1240.682669     263.582089     263.582000      93.317204     135.190754    -339.257006
 1900.000   -1240.142029   -1239.911688   -1240.725080     268.637692     268.637000      93.684204     144.541281    -365.870333
 2000.000   -1240.142029   -1239.896732   -1240.768276     273.451288     273.451000      94.004204     153.926320    -392.976255
