    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1258.555778   -1258.555765   -1258.555811      28.865460      28.864000       7.949204       0.008158      -0.020708
  100.000   -1258.555778   -1258.553275   -1258.565948      79.524342      79.528000      23.412204       1.570658      -6.381777
  200.000   -1258.555778   -1258.548410   -1258.580325     100.134908     100.133000      37.262204       4.623494     -15.403488
  300.000   -1258.555778   -1258.541502   -1258.597699     117.547265     117.547000      49.174204       8.958333     -26.305847
  400.000   -1258.555778   -1258.532827   -1258.617694     133.137228     133.137000      59.382204      14.401982     -38.852909
  500.000   -1258.555778   -1258.522681   -1258.640057     147.309228     147.309000      67.619204      20.768698     -52.885915
  600.000   -1258.555778   -1258.511371   -1258.664578     160.231541     160.231000      74.059204      27.865837     -68.273088
  700.000   -1258.555778   -1258.499151   -1258.691067     172.041727     172.042000      79.109204      35.534009     -84.895200
  800.000   -1258.555778   -1258.486211   -1258.719360     182.879161     182.879000      83.144204      43.653988    -102.649341
  900.000   -1258.555778   -1258.472690   -1258.749310     192.868685     192.868000      86.435204      52.138551    -121.443265
 1000.000   -1258.555778   -1258.458692   -1258.780791     202.120343     202.120000      89.167204      60.922436    -141.197908
 1100.000   -1258.555778   -1258.444294   -1258.813695     210.729838     210.730000      91.465204      69.957325    -161.845497
 1200.000   -1258.555778   -1258.429558   -1258.847925     218.774563     218.774000      93.417204      79.204312    -183.325164
 1300.000   -1258.555778   -1258.414535   -1258.883397     226.319687     226.319000      95.088204      88.631395    -205.584199
 1400.000   -1258.555778   -1258.399264   -1258.920034     233.420273     233.420000      96.528204      98.214100    -228.574283
 1500.000   -1258.555778   -1258.383780   -1258.957771     240.123395     240.123000      97.774204     107.930465    -252.254627
 1600.000   -1258.555778   -1258.368110   -1258.996547     246.469064     246.469000      98.859204     117.763547    -276.586955
 1700.000   -1258.555778   -1258.352278   -1259.036309     252.491937     252.491000      99.808204     127.698285    -301.538008
 1800.000   -1258.555778   -1258.336305   -1259.077006     258.220714     258.220000     100.640204     137.721502    -327.075782
 1900.000   -1258.555778   -1258.320208   -1259.118595     263.682014     263.682000     101.373204     147.822531    -353.173296
 2000.000   -1258.555778   -1258.304000   -1259.161034     268.898703     268.898000     102.022204     157.993213    -379.804193
