    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -843.166620    -843.166607    -843.166651      27.610440      27.525000       7.949204       0.008158      -0.019453
  100.000    -843.166620    -843.164207    -843.176602      77.779864      77.781000      21.281204       1.514182      -6.263805
  200.000    -843.166620    -843.159938    -843.190507      95.911766      95.910000      32.224204       4.193022     -14.989331
  300.000    -843.166620    -843.153972    -843.207015     110.950043     110.951000      42.520204       7.936746     -25.348266
  400.000    -843.166620    -843.146448    -843.225790     124.469746     124.470000      51.656204      12.658132     -37.129767
  500.000    -843.166620    -843.137595    -843.246625     136.834831     136.835000      59.173204      18.213478     -50.203938
  600.000    -843.166620    -843.127672    -843.269347     148.170799     148.171000      65.128204      24.440259     -64.462220
  700.000    -843.166620    -843.116904    -843.293801     158.578052     158.578000      69.833204      31.197287     -79.807349
  800.000    -843.166620    -843.105464    -843.319845     168.157777     168.158000      73.601204      38.376002     -96.150220
  900.000    -843.166620    -843.093482    -843.347357     177.010112     177.010000      76.671204      45.894826    -113.414275
 1000.000    -843.166620    -843.081055    -843.376228     185.224009     185.224000      79.209204      53.692893    -131.531116
 1100.000    -843.166620    -843.068258    -843.406362     192.876037     192.876000      81.334204      61.723139    -150.440502
 1200.000    -843.166620    -843.055150    -843.437675     200.031886     200.032000      83.130204      69.948540    -170.089723
 1300.000    -843.166620    -843.041777    -843.470093     206.748133     206.748000      84.661204      78.340231    -190.432342
 1400.000    -843.166620    -843.028178    -843.503549     213.071469     213.071000      85.973204      86.873739    -211.426317
 1500.000    -843.166620    -843.014385    -843.537984     219.042406     219.042000      87.105204      95.528985    -233.034624
 1600.000    -843.166620    -843.000424    -843.573346     224.696428     224.696000      88.086204     104.289652    -255.224632
 1700.000    -843.166620    -842.986317    -843.609584     230.062515     230.062000      88.941204     113.141936    -277.964340
 1800.000    -843.166620    -842.972083    -843.646657     235.167739     235.168000      89.690204     122.073913    -301.228018
 1900.000    -843.166620    -842.957736    -843.684525     240.035455     240.035000      90.348204     131.076799    -324.990567
 2000.000    -843.166620    -842.943291    -843.723150     244.684661     244.684000      90.929204     140.141181    -349.228140
