    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1051.605633   -1051.605620   -1051.605665      28.237950      27.820000       7.949165       0.008158      -0.020080
  100.000   -1051.605633   -1051.603367   -1051.615657      77.120979      77.121000      20.738165       1.421938      -6.290160
  200.000   -1051.605633   -1051.599047   -1051.629460      95.422308      95.424000      32.967165       4.132781     -14.951681
  300.000   -1051.605633   -1051.592996   -1051.645913     110.686489     110.686000      42.639165       7.929844     -25.276103
  400.000   -1051.605633   -1051.585553   -1051.664639     124.068140     124.069000      50.475165      12.600401     -37.026855
  500.000   -1051.605633   -1051.577003   -1051.685380     136.015303     136.016000      56.556165      17.965611     -50.042040
  600.000   -1051.605633   -1051.567608   -1051.707926     146.751580     146.752000      61.128165      23.861068     -64.189880
  700.000   -1051.605633   -1051.557581   -1051.732098     156.444518     156.444000      64.552165      30.153111     -79.358052
  800.000   -1051.605633   -1051.547078   -1051.757741     165.241424     165.241000      67.145165      36.743848     -95.449291
  900.000   -1051.605633   -1051.536212   -1051.784723     173.270153     173.270000      69.141165      43.562372    -112.380766
 1000.000   -1051.605633   -1051.525064   -1051.812930     180.638794     180.639000      70.704165      50.557853    -130.080940
 1100.000   -1051.605633   -1051.513694   -1051.842266     187.438378     187.438000      71.948165      57.692642    -148.489574
 1200.000   -1051.605633   -1051.502145   -1051.872644     193.743190     193.743000      72.952165      64.939755    -167.552073
 1300.000   -1051.605633   -1051.490452   -1051.903993     199.616241     199.616000      73.774165      72.277229    -187.223884
 1400.000   -1051.605633   -1051.478639   -1051.936246     205.109263     205.109000      74.455165      79.690005    -207.462964
 1500.000   -1051.605633   -1051.466728   -1051.969347     210.265632     210.266000      75.023165      87.164277    -228.234172
 1600.000   -1051.605633   -1051.454733   -1052.003246     215.123370     215.123000      75.503165      94.691259    -249.506134
 1700.000   -1051.605633   -1051.442667   -1052.037897     219.713398     219.713000      75.911165     102.262795    -271.249983
 1800.000   -1051.605633   -1051.430541   -1052.073260     224.062555     224.062000      76.261165     109.871981    -293.440619
 1900.000   -1051.605633   -1051.418363   -1052.109299     228.194342     228.194000      76.564165     117.513798    -316.055452
 2000.000   -1051.605633   -1051.406141   -1052.145980     232.128185     232.128000      76.826165     125.183225    -339.073146
