    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -951.123548    -951.123535    -951.123579      27.610440      27.318000       7.949165       0.008158      -0.019453
  100.000    -951.123548    -951.121341    -951.133368      75.470628      75.468000      19.267165       1.384915      -6.162148
  200.000    -951.123548    -951.117392    -951.146783      92.215732      92.215000      29.973165       3.862952     -14.580195
  300.000    -951.123548    -951.111906    -951.162610     106.057557     106.056000      38.522165       7.305471     -24.511796
  400.000    -951.123548    -951.105217    -951.180490     118.086401     118.086000      45.136165      11.502886     -35.731674
  500.000    -951.123548    -951.097607    -951.200172     128.721126     128.721000      50.127165      16.278237     -48.082326
  600.000    -951.123548    -951.089309    -951.221455     138.204894     138.205000      53.833165      21.485315     -61.437622
  700.000    -951.123548    -951.080500    -951.244170     146.720802     146.720000      56.582165      27.013050     -75.691511
  800.000    -951.123548    -951.071311    -951.268174     154.416876     154.417000      58.639165      32.779240     -90.754261
  900.000    -951.123548    -951.061837    -951.293348     161.417186     161.418000      60.201165      38.724270    -106.551198
 1000.000    -951.123548    -951.052143    -951.319590     167.825667     167.825000      61.405165      44.807352    -123.018315
 1100.000    -951.123548    -951.042279    -951.346811     173.724432     173.724000      62.348165      50.997110    -140.099765
 1200.000    -951.123548    -951.032282    -951.374936     179.182343     179.182000      63.096165      57.270328    -157.748484
 1300.000    -951.123548    -951.022177    -951.403899     184.257209     184.257000      63.699165      63.611316    -175.923056
 1400.000    -951.123548    -951.011985    -951.433645     188.997048     188.997000      64.191165      70.006898    -194.588968
 1500.000    -951.123548    -951.001723    -951.464121     193.439579     193.440000      64.596165      76.446406    -213.712963
 1600.000    -951.123548    -950.991401    -951.495284     197.619763     197.620000      64.934165      82.923564    -233.268057
 1700.000    -951.123548    -950.981030    -951.527094     201.565071     201.565000      65.218165      89.431470    -253.229150
 1800.000    -951.123548    -950.970617    -951.559515     205.299658     205.300000      65.459165      95.965732    -273.573652
 1900.000    -951.123548    -950.960168    -951.592517     208.844906     208.845000      65.666165     102.522584    -294.282737
 2000.000    -951.123548    -950.949689    -951.626069     212.217607     212.217000      65.844165     109.098261    -315.336953
