    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1902.267957   -1902.267945   -1902.267998      33.258030      33.529000       7.949165       0.007530      -0.025728
  100.000   -1902.267957   -1902.264203   -1902.280186     100.294923     100.293000      37.639165       2.355673      -7.673820
  200.000   -1902.267957   -1902.256178   -1902.298960     134.230664     134.230000      61.811165       7.391440     -19.454693
  300.000   -1902.267957   -1902.244843   -1902.322687     162.826295     162.827000      79.639165      14.504266     -34.343622
  400.000   -1902.267957   -1902.231012   -1902.350660     187.700791     187.700000      93.331165      23.183357     -51.896960
  500.000   -1902.267957   -1902.215275   -1902.382359     209.693762     209.694000     103.674165      33.058482     -71.788399
  600.000   -1902.267957   -1902.198112   -1902.417368     229.308888     229.308000     111.327165      43.828436     -93.756897
  700.000   -1902.267957   -1902.179898   -1902.455338     246.916221     246.915000     116.975165      55.257903    -117.583451
  800.000   -1902.267957   -1902.160906   -1902.495974     262.823151     262.823000     121.180165      67.175573    -143.082948
  900.000   -1902.267957   -1902.141330   -1902.539028     277.288302     277.288000     124.356165      79.459709    -170.099763
 1000.000   -1902.267957   -1902.121311   -1902.584286     290.521442     290.522000     126.794165      92.021831    -198.499611
 1100.000   -1902.267957   -1902.100947   -1902.631567     302.699415     302.699000     128.695165     104.800445    -228.168911
 1200.000   -1902.267957   -1902.080314   -1902.680714     313.964170     313.964000     130.202165     117.747859    -259.009145
 1300.000   -1902.267957   -1902.059465   -1902.731592     324.435703     324.435000     131.411165     130.830815    -290.935599
 1400.000   -1902.267957   -1902.038442   -1902.784081     334.211378     334.211000     132.396165     144.022958    -323.872971
 1500.000   -1902.267957   -1902.017277   -1902.838079     343.374309     343.374000     133.207165     157.304207    -357.757256
 1600.000   -1902.267957   -1901.995993   -1902.893493     351.993891     351.993000     133.882165     170.660130    -392.530095
 1700.000   -1902.267957   -1901.974612   -1902.950241     360.127620     360.127000     134.449165     184.076921    -428.140033
 1800.000   -1902.267957   -1901.953146   -1903.008250     367.826839     367.826000     134.929165     197.547051    -464.541260
 1900.000   -1902.267957   -1901.931610   -1903.067454     375.133404     375.133000     135.340165     211.061106    -501.692362
 2000.000   -1902.267957   -1901.910014   -1903.127793     382.084250     382.084000     135.694165     224.612812    -539.555688
