    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -891.169277    -891.169265    -891.169307      26.355420      26.775000       7.949204       0.007530      -0.018825
  100.000    -891.169277    -891.167124    -891.178815      73.362194      73.363000      19.765204       1.351029      -5.985190
  200.000    -891.169277    -891.162968    -891.191956      90.951299      90.950000      31.926204       3.958961     -14.231299
  300.000    -891.169277    -891.157068    -891.207662     105.827470     105.826000      41.831204       7.661270     -24.086971
  400.000    -891.169277    -891.149725    -891.225597     119.026097     119.027000      50.043204      12.269076     -35.341363
  500.000    -891.169277    -891.141211    -891.245529     130.921176     130.921000      56.522204      17.611696     -47.848893
  600.000    -891.169277    -891.131790    -891.267264     141.685483     141.685000      61.493204      23.523467     -61.487822
  700.000    -891.169277    -891.121673    -891.290635     151.464778     151.464000      65.317204      29.871986     -76.153359
  800.000    -891.169277    -891.111016    -891.315494     160.389987     160.389000      68.307204      36.559360     -91.752630
  900.000    -891.169277    -891.099934    -891.341715     168.577773     168.577000      70.691204      43.513426    -108.206569
 1000.000    -891.169277    -891.088509    -891.369189     176.129507     176.129000      72.626204      50.682728    -125.446779
 1100.000    -891.169277    -891.076805    -891.397821     183.127955     183.128000      74.219204      58.027105    -143.413645
 1200.000    -891.169277    -891.064868    -891.427530     189.645026     189.645000      75.546204      65.517692    -162.056340
 1300.000    -891.169277    -891.052738    -891.458242     195.736781     195.737000      76.663204      73.129388    -181.328427
 1400.000    -891.169277    -891.040443    -891.489895     201.454018     201.454000      77.611204      80.844623    -201.191001
 1500.000    -891.169277    -891.028009    -891.522432     206.836918     206.837000      78.421204      88.647083    -221.608294
 1600.000    -891.169277    -891.015455    -891.555802     211.920716     211.921000      79.117204      96.524843    -242.548303
 1700.000    -891.169277    -891.002797    -891.589961     216.736048     216.736000      79.720204     104.467865    -263.983417
 1800.000    -891.169277    -890.990050    -891.624868     221.308135     221.308000      80.244204     112.466735    -285.887908
 1900.000    -891.169277    -890.977225    -891.660485     225.659201     225.659000      80.702204     120.514551    -308.237932
 2000.000    -891.169277    -890.964332    -891.696779     229.808908     229.809000      81.105204     128.605037    -331.012780
