    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1128.954011   -1128.953999   -1128.954045      28.865460      28.806000       7.949204       0.007530      -0.021335
  100.000   -1128.954011   -1128.951487   -1128.964158      79.511792      79.507000      24.365204       1.583835      -6.367344
  200.000   -1128.954011   -1128.946310   -1128.978630     101.405616     101.404000      39.901204       4.832455     -15.448669
  300.000   -1128.954011   -1128.938945   -1128.996303     119.975729     119.976000      52.131204       9.454066     -26.538653
  400.000   -1128.954011   -1128.929812   -1129.016755     136.394005     136.394000      62.121204      15.185114     -39.372487
  500.000   -1128.954011   -1128.919262   -1129.039686     151.134528     151.134000      69.939204      21.805345     -53.761919
  600.000   -1128.954011   -1128.907620   -1129.064849     164.437950     164.437000      75.895204      29.110816     -69.551953
  700.000   -1128.954011   -1128.895147   -1129.092029     176.493463     176.493000      80.440204      36.937749     -86.607675
  800.000   -1128.954011   -1128.882036   -1129.121044     187.474888     187.474000      83.964204      45.165032    -104.814878
  900.000   -1128.954011   -1128.868425   -1129.151732     197.531084     197.531000      86.749204      53.706071    -124.071905
 1000.000   -1128.954011   -1128.854416   -1129.183958     206.790900     206.791000      88.990204      62.496858    -144.294042
 1100.000   -1128.954011   -1128.840084   -1129.217604     215.361432     215.361000      90.821204      71.490332    -165.407243
 1200.000   -1128.954011   -1128.825486   -1129.252566     223.330809     223.331000      92.337204      80.650723    -187.346248
 1300.000   -1128.954011   -1128.810668   -1129.288756     230.773078     230.773000      93.604204      89.949166    -210.055835
 1400.000   -1128.954011   -1128.795663   -1129.326094     237.750541     237.750000      94.674204      99.364953    -233.485803
 1500.000   -1128.954011   -1128.780502   -1129.364510     244.313907     244.314000      95.584204     108.878633    -257.592227
 1600.000   -1128.954011   -1128.765206   -1129.403942     250.508267     250.508000      96.363204     118.477026    -282.336202
 1700.000   -1128.954011   -1128.749794   -1129.444334     256.371056     256.371000      97.036204     128.148210    -307.682586
 1800.000   -1128.954011   -1128.734283   -1129.485637     261.934527     261.934000      97.619204     137.881517    -333.600631
 1900.000   -1128.954011   -1128.718685   -1129.527804     267.226455     267.226000      98.128204     147.669418    -360.060845
 2000.000   -1128.954011   -1128.703011   -1129.570794     272.271255     272.271000      98.574204     157.505010    -387.037500
