    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1130.177911   -1130.177899   -1130.177945      28.865460      28.915000       7.949204       0.007530      -0.021335
  100.000   -1130.177911   -1130.175347   -1130.188030      79.587093      79.585000      25.406204       1.608936      -6.349774
  200.000   -1130.177911   -1130.169952   -1130.202593     102.412770     102.412000      41.437204       4.994352     -15.488202
  300.000   -1130.177911   -1130.162320   -1130.220483     121.659547     121.660000      54.017204       9.783508     -26.714356
  400.000   -1130.177911   -1130.152831   -1130.241254     138.715792     138.715000      64.744204      15.737951     -39.748366
  500.000   -1130.177911   -1130.141792   -1130.264608     154.136536     154.137000      73.470204      22.665034     -54.403234
  600.000   -1130.177911   -1130.129515   -1130.290306     168.163267     168.164000      80.324204      30.368974     -70.528986
  700.000   -1130.177911   -1130.116269   -1130.318140     180.965816     180.965000      85.695204      38.680971     -87.995100
  800.000   -1130.177911   -1130.102261   -1130.347927     192.697340     192.697000      89.958204      47.471131    -106.686740
  900.000   -1130.177911   -1130.087641   -1130.379507     203.498704     203.498000      93.399204      56.645328    -126.503506
 1000.000   -1130.177911   -1130.072525   -1130.412743     213.490197     213.490000      96.217204      66.130769    -147.359428
 1100.000   -1130.177911   -1130.057000   -1130.447513     222.773466     222.773000      98.554204      75.872862    -169.177951
 1200.000   -1130.177911   -1130.041134   -1130.483712     231.435101     231.435000     100.511204      85.828935    -191.893186
 1300.000   -1130.177911   -1130.024982   -1130.521247     239.547115     239.547000     102.164204      95.964477    -215.446773
 1400.000   -1130.177911   -1130.008586   -1130.560035     247.171259     247.171000     103.570204     106.253131    -239.786631
 1500.000   -1130.177911   -1129.991982   -1130.600002     254.359087     254.359000     104.774204     116.672307    -264.866323
 1600.000   -1130.177911   -1129.975201   -1130.641083     261.154759     261.155000     105.810204     127.202552    -290.645062
 1700.000   -1130.177911   -1129.958266   -1130.683219     267.597210     267.597000     106.708204     137.829434    -317.085823
 1800.000   -1130.177911   -1129.941197   -1130.726355     273.719165     273.719000     107.490204     148.540402    -344.154094
 1900.000   -1130.177911   -1129.924012   -1130.770443     279.549430     279.549000     108.174204     159.324161    -371.819755
 2000.000   -1130.177911   -1129.906724   -1130.815439     285.113875     285.113000     108.774204     170.172554    -400.055195
