    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1465.984102   -1465.984089   -1465.984138      30.747990      31.026000       7.949204       0.008158      -0.022590
  100.000   -1465.984102   -1465.981085   -1465.995014      87.405868      87.406000      30.115204       1.893198      -6.847389
  200.000   -1465.984102   -1465.974646   -1466.011180     114.627252     114.629000      49.788204       5.933735     -16.991716
  300.000   -1465.984102   -1465.965460   -1466.031336     137.792829     137.792000      64.895204      11.698041     -29.639807
  400.000   -1465.984102   -1465.954130   -1466.054950     158.163895     158.164000      76.807204      18.807730     -44.457828
  500.000   -1465.984102   -1465.941130   -1466.081629     176.329055     176.330000      85.917204      26.965360     -61.199168
  600.000   -1465.984102   -1465.926868   -1466.111051     192.627791     192.627000      92.737204      35.914907     -79.661767
  700.000   -1465.984102   -1465.911663   -1466.142939     207.325718     207.325000      97.852204      45.456197     -99.671806
  800.000   -1465.984102   -1465.895745   -1466.177057     220.657616     220.657000     101.745204      55.444901    -121.081192
  900.000   -1465.984102   -1465.879281   -1466.213205     232.822944     232.823000     104.764204      65.776226    -143.764424
 1000.000   -1465.984102   -1465.862389   -1466.251210     243.989066     243.989000     107.148204      76.376125    -167.612941
 1100.000   -1465.984102   -1465.845156   -1466.290923     254.293864     254.294000     109.062204      87.190004    -192.533246
 1200.000   -1465.984102   -1465.827647   -1466.332219     263.853313     263.853000     110.621204      98.177077    -218.446899
 1300.000   -1465.984102   -1465.809913   -1466.374984     272.759772     272.760000     111.907204     109.305339    -245.282364
 1400.000   -1465.984102   -1465.791992   -1466.419122     281.093105     281.093000     112.979204     120.550946    -272.979400
 1500.000   -1465.984102   -1465.773913   -1466.464547     288.919828     288.920000     113.881204     131.895699    -301.484042
 1600.000   -1465.984102   -1465.755702   -1466.511183     296.294926     296.294000     114.648204     143.323284    -330.748598
 1700.000   -1465.984102   -1465.737378   -1466.558961     303.265617     303.265000     115.303204     154.821777    -360.729771
 1800.000   -1465.984102   -1465.718958   -1466.607820     309.872108     309.872000     115.868204     166.380511    -391.389282
 1900.000   -1465.984102   -1465.700453   -1466.657706     316.150437     316.150000     116.358204     177.992584    -422.693246
 2000.000   -1465.984102   -1465.681875   -1466.708568     322.130062     322.130000     116.785204     189.650465    -454.609660
