    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -513.580692    -513.580680    -513.580716      22.590360      22.724000       7.949165       0.007530      -0.015060
  100.000    -513.580692    -513.579010    -513.589140      63.566763      63.567000      13.135165       1.055472      -5.301204
  200.000    -513.580692    -513.576587    -513.600150      73.930091      73.933000      17.485165       2.575929     -12.210090
  300.000    -513.580692    -513.573442    -513.612584      81.873321      81.875000      21.834165       4.549447     -20.012549
  400.000    -513.580692    -513.569681    -513.626184      88.640494      88.641000      25.210165       6.909513     -28.546685
  500.000    -513.580692    -513.565450    -513.640791      94.554462      94.553000      27.758165       9.564507     -37.712723
  600.000    -513.580692    -513.560866    -513.656284      99.792915      99.793000      29.688165      12.441013     -47.434736
  700.000    -513.580692    -513.556012    -513.672568     104.485794     104.485000      31.162165      15.486947     -57.653109
  800.000    -513.580692    -513.550952    -513.689562     108.723951     108.724000      32.299165      18.662147     -68.317014
  900.000    -513.580692    -513.545731    -513.707200     112.581569     112.581000      33.186165      21.938377     -79.385035
 1000.000    -513.580692    -513.540385    -513.725427     116.115705     116.115000      33.886165      25.293046     -90.822660
 1100.000    -513.580692    -513.534939    -513.744194     119.372368     119.372000      34.445165      28.710465    -102.599140
 1200.000    -513.580692    -513.529412    -513.763460     122.389550     122.390000      34.897165      32.178713    -114.688748
 1300.000    -513.580692    -513.523821    -513.783191     125.197899     125.198000      35.266165      35.687121    -127.070147
 1400.000    -513.580692    -513.518176    -513.803354     127.822891     127.823000      35.570165      39.229415    -139.722632
 1500.000    -513.580692    -513.512486    -513.823922     130.286136     130.286000      35.824165      42.799947    -152.629257
 1600.000    -513.580692    -513.506760    -513.844871     132.605021     132.605000      36.037165      46.393069    -165.774964
 1700.000    -513.580692    -513.501002    -513.866179     134.795423     134.795000      36.217165      50.006272    -179.145947
 1800.000    -513.580692    -513.495218    -513.887826     136.869692     136.870000      36.371165      53.635790    -192.729656
 1900.000    -513.580692    -513.489411    -513.909796     138.839890     138.840000      36.504165      57.279740    -206.516051
 2000.000    -513.580692    -513.483584    -513.932072     140.715352     140.715000      36.619165      60.936241    -220.494464
