    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -951.112732    -951.112719    -951.112763      27.610440      27.084000       7.949165       0.008158      -0.019453
  100.000    -951.112732    -951.110599    -951.122296      73.399845      73.402000      19.330165       1.338479      -6.001506
  200.000    -951.112732    -951.106594    -951.135398      90.373990      90.374000      30.468165       3.851656     -14.223142
  300.000    -951.112732    -951.101037    -951.150948     104.398839     104.397000      38.881165       7.338729     -23.980922
  400.000    -951.112732    -951.094306    -951.168571     116.505075     116.505000      45.313165      11.562499     -35.039531
  500.000    -951.112732    -951.086678    -951.188004     127.166157     127.166000      50.194165      16.349146     -47.233933
  600.000    -951.112732    -951.078374    -951.209039     136.655990     136.656000      53.842165      21.559989     -60.433606
  700.000    -951.112732    -951.069566    -951.231507     145.170853     145.171000      56.562165      27.087097     -74.532500
  800.000    -951.112732    -951.060382    -951.255265     152.863789     152.863000      58.608165      32.850149     -89.440883
  900.000    -951.112732    -951.050912    -951.280191     159.860961     159.860000      60.165165      38.792668    -105.082197
 1000.000    -951.112732    -951.041225    -951.306184     166.264422     166.264000      61.369165      44.871358    -121.393065
 1100.000    -951.112732    -951.031367    -951.333156     172.159650     172.160000      62.312165      51.057351    -138.318264
 1200.000    -951.112732    -951.021375    -951.361031     177.614614     177.615000      63.063165      57.327431    -155.810105
 1300.000    -951.112732    -951.011275    -951.389745     182.687469     182.687000      63.668165      63.665282    -173.828428
 1400.000    -951.112732    -951.001088    -951.419240     187.424687     187.424000      64.162165      70.057726    -192.336835
 1500.000    -951.112732    -950.990830    -951.449465     191.865366     191.865000      64.570165      76.494724    -211.303325
 1600.000    -951.112732    -950.980512    -951.480377     196.043929     196.044000      64.910165      82.969372    -230.700914
 1700.000    -951.112732    -950.970144    -951.511936     199.988175     199.988000      65.196165      89.475396    -250.504502
 1800.000    -951.112732    -950.959735    -951.544106     203.721470     203.722000      65.439165      96.007147    -270.691499
 1900.000    -951.112732    -950.949289    -951.576856     207.265562     207.265000      65.647165     102.562117    -291.242451
 2000.000    -951.112732    -950.938813    -951.610157     210.637537     210.637000      65.827165     109.135912    -312.139162
