    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1026.908618   -1026.908605   -1026.908652      29.492970      28.980000       7.949204       0.008158      -0.021335
  100.000   -1026.908618   -1026.906335   -1026.918634      77.177455      77.182000      21.406204       1.432605      -6.285140
  200.000   -1026.908618   -1026.901812   -1026.932511      96.319647      96.318000      34.714204       4.270833     -14.993096
  300.000   -1026.908618   -1026.895458   -1026.949171     112.351482     112.352000      44.591204       8.258032     -25.447413
  400.000   -1026.908618   -1026.887719   -1026.968208     126.269131     126.270000      52.201204      13.114331     -37.393321
  500.000   -1026.908618   -1026.878918   -1026.989330     138.569268     138.569000      57.964204      18.637047     -50.647587
  600.000   -1026.908618   -1026.869323   -1027.012302     149.534587     149.534000      62.236204      24.658005     -65.062747
  700.000   -1026.908618   -1026.859141   -1027.036930     159.377679     159.378000      65.399204      31.047312     -80.517063
  800.000   -1026.908618   -1026.848521   -1027.063049     168.273082     168.273000      67.774204      37.711468     -96.906997
  900.000   -1026.908618   -1026.837569   -1027.090519     176.365172     176.365000      69.592204      44.583958    -114.144697
 1000.000   -1026.908618   -1026.826361   -1027.119224     183.774461     183.774000      71.014204      51.617090    -132.157371
 1100.000   -1026.908618   -1026.814951   -1027.149061     190.597606     190.597000      72.148204      58.776979    -150.880387
 1200.000   -1026.908618   -1026.803377   -1027.179944     196.916298     196.916000      73.069204      66.039780    -170.259778
 1300.000   -1026.908618   -1026.791671   -1027.211799     202.795786     202.795000      73.827204      73.385412    -190.249109
 1400.000   -1026.908618   -1026.779854   -1027.244559     208.290739     208.291000      74.460204      80.800698    -210.806337
 1500.000   -1026.908618   -1026.767944   -1027.278167     213.446690     213.446000      74.994204      88.274342    -231.895693
 1600.000   -1026.908618   -1026.755956   -1027.312572     218.301316     218.301000      75.449204      95.796932    -253.485175
 1700.000   -1026.908618   -1026.743901   -1027.347730     222.887492     222.887000      75.839204     103.361565    -275.547171
 1800.000   -1026.908618   -1026.731787   -1027.383598     227.232178     227.232000      76.177204     110.963221    -298.054700
 1900.000   -1026.908618   -1026.719624   -1027.420142     231.358974     231.359000      76.471204     118.595625    -320.986425
 2000.000   -1026.908618   -1026.707416   -1027.457327     235.288326     235.288000      76.728204     126.256267    -344.320385
