    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -851.220512    -851.220500    -851.220544      27.610440      27.942000       7.949204       0.007530      -0.020080
  100.000    -851.220512    -851.218322    -851.230550      76.731923      76.730000      19.026204       1.374247      -6.298945
  200.000    -851.220512    -851.214464    -851.244141      93.113071      93.113000      29.000204       3.795180     -14.827434
  300.000    -851.220512    -851.209222    -851.260065     106.348303     106.349000      36.424204       7.084588     -24.819903
  400.000    -851.220512    -851.202949    -851.277934     117.634593     117.634000      42.050204      11.020958     -36.032879
  500.000    -851.220512    -851.195890    -851.297483     127.501247     127.500000      46.334204      15.450551     -48.300072
  600.000    -851.220512    -851.188238    -851.318511     136.246017     136.246000      49.547204      20.252258     -61.495352
  700.000    -851.220512    -851.180142    -851.340858     144.072710     144.073000      51.947204      25.332579     -75.518318
  800.000    -851.220512    -851.171713    -851.364390     151.133430     151.133000      53.751204      30.621860     -90.284884
  900.000    -851.220512    -851.163033    -851.388993     157.546844     157.547000      55.124204      36.068647    -105.723512
 1000.000    -851.220512    -851.154161    -851.414574     163.411762     163.412000      56.183204      41.635916    -121.775846
 1100.000    -851.220512    -851.145139    -851.441051     168.807036     168.807000      57.012204      47.297311    -138.390428
 1200.000    -851.220512    -851.135999    -851.468354     173.796738     173.797000      57.671204      53.032753    -155.523333
 1300.000    -851.220512    -851.126764    -851.496425     178.435365     178.435000      58.202204      58.827807    -173.138167
 1400.000    -851.220512    -851.117453    -851.525209     182.764977     182.765000      58.635204      64.670553    -191.200414
 1500.000    -851.220512    -851.108080    -851.554661     186.822696     186.823000      58.992204      70.552204    -209.681839
 1600.000    -851.220512    -851.098655    -851.584740     190.639499     190.640000      59.289204      76.466486    -228.556712
 1700.000    -851.220512    -851.089186    -851.615410     194.241660     194.242000      59.540204      82.408378    -247.802444
 1800.000    -851.220512    -851.079680    -851.646639     197.651357     197.651000      59.752204      88.373488    -267.398954
 1900.000    -851.220512    -851.070143    -851.678397     200.887088     200.887000      59.934204      94.358051    -287.327416
 2000.000    -851.220512    -851.060579    -851.710657     203.965223     203.965000      60.090204     100.359557    -307.570889
