    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -475.516502    -475.516489    -475.516522      20.707830      20.994000       7.949165       0.008158      -0.012550
  100.000    -475.516502    -475.515123    -475.524448      58.515307      58.519000      10.395165       0.865336      -4.986194
  200.000    -475.516502    -475.513081    -475.534502      67.209459      67.209000      15.166165       2.146712     -11.295180
  300.000    -475.516502    -475.510351    -475.545778      74.102656      74.103000      18.890165       3.859814     -18.370983
  400.000    -475.516502    -475.507112    -475.558064      79.932224      79.932000      21.628165       5.892319     -26.080571
  500.000    -475.516502    -475.503493    -475.571214      84.991209      84.991000      23.703165       8.163278     -34.332327
  600.000    -475.516502    -475.499584    -475.585121      89.458871      89.459000      25.285165      10.616214     -43.059109
  700.000    -475.516502    -475.495454    -475.599701      93.451479      93.452000      26.495165      13.207830     -52.208204
  800.000    -475.516502    -475.491154    -475.614885      97.053050      97.053000      27.426165      15.906123     -61.736316
  900.000    -475.516502    -475.486723    -475.630616     100.326996     100.327000      28.150165      18.686620     -71.607676
 1000.000    -475.516502    -475.482190    -475.646847     103.323914     103.324000      28.718165      21.531123     -81.792791
 1100.000    -475.516502    -475.477576    -475.663535     106.082847     106.083000      29.170165      24.426454     -92.264678
 1200.000    -475.516502    -475.472897    -475.680646     108.637146     108.637000      29.534165      27.362574    -103.002001
 1300.000    -475.516502    -475.468167    -475.698150     111.012794     111.013000      29.830165      30.330696    -113.985936
 1400.000    -475.516502    -475.463393    -475.716020     113.232835     113.233000      30.073165      33.326429    -125.199540
 1500.000    -475.516502    -475.458584    -475.734233     115.315003     115.315000      30.275165      36.344124    -136.628380
 1600.000    -475.516502    -475.453745    -475.752767     117.274560     117.274000      30.444165      39.380645    -148.258650
 1700.000    -475.516502    -475.448882    -475.771605     119.124653     119.124000      30.587165      42.432226    -160.079684
 1800.000    -475.516502    -475.443998    -475.790729     120.876205     120.876000      30.709165      45.496985    -172.080185
 1900.000    -475.516502    -475.439095    -475.810126     122.539823     122.540000      30.814165      48.573667    -184.251996
 2000.000    -475.516502    -475.434177    -475.829781     124.122733     124.122000      30.905165      51.659761    -196.585705
