    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -813.159699    -813.159687    -813.159729      26.355420      26.876000       7.949165       0.007530      -0.018825
  100.000    -813.159699    -813.157666    -813.169279      72.872736      72.870000      16.975165       1.275728      -6.011546
  200.000    -813.159699    -813.154270    -813.182095      87.302329      87.301000      25.481165       3.406752     -14.053714
  300.000    -813.159699    -813.149632    -813.196965      99.006436      99.008000      32.461165       6.317143     -23.384788
  400.000    -813.159699    -813.144006    -813.213567     109.125558     109.126000      37.900165       9.847514     -33.802709
  500.000    -813.159699    -813.137624    -813.231682     118.044671     118.045000      41.989165      13.852283     -45.170052
  600.000    -813.159699    -813.130681    -813.251138     125.979953     125.980000      44.991165      18.209085     -57.378887
  700.000    -813.159699    -813.123327    -813.271791     133.089492     133.090000      47.190165      22.823794     -70.338851
  800.000    -813.159699    -813.115671    -813.293520     139.502532     139.502000      48.818165      27.628010     -83.974016
  900.000    -813.159699    -813.107789    -813.316222     145.326435     145.326000      50.041165      32.574044     -98.219748
 1000.000    -813.159699    -813.099737    -813.339811     150.648836     150.649000      50.976165      37.626755    -113.022081
 1100.000    -813.159699    -813.091553    -813.364214     155.543186     155.543000      51.703165      42.762296    -128.335208
 1200.000    -813.159699    -813.083266    -813.389367     160.067865     160.067000      52.277165      47.962472    -144.118967
 1300.000    -813.159699    -813.074897    -813.415214     164.271016     164.271000      52.737165      53.214103    -160.338218
 1400.000    -813.159699    -813.066462    -813.441708     168.193298     168.193000      53.111165      58.507150    -176.963468
 1500.000    -813.159699    -813.057973    -813.468807     171.868296     171.868000      53.419165      63.834082    -193.968361
 1600.000    -813.159699    -813.049439    -813.496474     175.324333     175.324000      53.674165      69.189253    -211.329680
 1700.000    -813.159699    -813.040868    -813.524676     178.584917     178.585000      53.889165      74.567641    -229.026717
 1800.000    -813.159699    -813.032266    -813.553384     181.670420     181.670000      54.070165      79.965482    -247.041274
 1900.000    -813.159699    -813.023636    -813.582570     184.598250     184.598000      54.225165      85.380893    -265.355781
 2000.000    -813.159699    -813.014984    -813.612211     187.382957     187.383000      54.359165      90.810110    -283.955805
