    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000    -926.482084    -926.482071    -926.482116      28.237950      28.358000       7.949165       0.008158      -0.020080
  100.000    -926.482084    -926.479865    -926.491892      75.470628      75.476000      20.062165       1.392445      -6.154618
  200.000    -926.482084    -926.475773    -926.505363      92.840104      92.842000      30.843165       3.960216     -14.607805
  300.000    -926.482084    -926.470172    -926.521317     106.979996     106.980000      39.090165       7.474899     -24.619100
  400.000    -926.482084    -926.463413    -926.539356     119.137480     119.137000      45.460165      11.716239     -35.938753
  500.000    -926.482084    -926.455764    -926.559211     129.828054     129.828000      50.307165      16.516063     -48.397964
  600.000    -926.482084    -926.447444    -926.580672     139.336504     139.337000      53.933165      21.736946     -61.864956
  700.000    -926.482084    -926.438623    -926.603568     147.863767     147.864000      56.638165      27.272212     -76.232425
  800.000    -926.482084    -926.429428    -926.627755     155.565220     155.565000      58.671165      33.042167     -91.410009
  900.000    -926.482084    -926.419949    -926.653113     162.569713     162.569000      60.219165      38.990334    -107.322408
 1000.000    -926.482084    -926.410253    -926.679538     168.979030     168.979000      61.414165      45.074671    -123.904360
 1100.000    -926.482084    -926.400389    -926.706942     174.877339     174.878000      62.352165      51.264429    -141.100644
 1200.000    -926.482084    -926.390391    -926.735251     180.335915     180.336000      63.097165      57.538274    -158.864824
 1300.000    -926.482084    -926.380286    -926.764399     185.411345     185.411000      63.699165      63.879263    -177.155486
 1400.000    -926.482084    -926.370094    -926.794328     190.150770     190.150000      64.189165      70.274845    -195.936232
 1500.000    -926.482084    -926.359832    -926.824988     194.593361     194.593000      64.594165      76.714353    -215.175689
 1600.000    -926.482084    -926.349511    -926.856335     198.773205     198.773000      64.931165      83.190883    -234.846245
 1700.000    -926.482084    -926.339140    -926.888329     202.718582     202.718000      65.215165      89.698789    -254.922800
 1800.000    -926.482084    -926.328727    -926.920934     206.453230     206.453000      65.457165      96.233051    -275.382764
 1900.000    -926.482084    -926.318279    -926.954119     209.997873     209.998000      65.663165     102.789276    -296.206683
 2000.000    -926.482084    -926.307801    -926.987855     213.370343     213.370000      65.841165     109.364325    -317.376360
