    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1050.946843   -1050.946831   -1050.946877      28.865460      29.210000       7.949165       0.007530      -0.021335
  100.000   -1050.946843   -1050.944435   -1050.957124      79.624744      79.624000      21.750165       1.511044      -6.451430
  200.000   -1050.946843   -1050.939989   -1050.971379      98.487695      98.489000      33.610165       4.300954     -15.396585
  300.000   -1050.946843   -1050.933866   -1050.988339     113.941174     113.940000      42.844165       8.143197     -26.039155
  400.000   -1050.946843   -1050.926442   -1051.007584     127.293541     127.293000      50.013165      12.801832     -38.115585
  500.000   -1050.946843   -1050.918020   -1051.028826     139.063746     139.063000      55.414165      18.086721     -51.445152
  600.000   -1050.946843   -1050.908856   -1051.051837     149.536679     149.537000      59.388165      23.837222     -65.884785
  700.000   -1050.946843   -1050.899148   -1051.076429     158.922286     158.922000      62.303165      29.929089     -81.316511
  800.000   -1050.946843   -1050.889039   -1051.102440     167.389077     167.389000      64.462165      36.272588     -97.638673
  900.000   -1050.946843   -1050.878631   -1051.129738     175.080171     175.080000      66.086165      42.803712    -114.768441
 1000.000   -1050.946843   -1050.867996   -1051.158207     182.110305     182.110000      67.327165      49.477281    -132.633024
 1100.000   -1050.946843   -1050.857187   -1051.187750     188.574171     188.574000      68.293165      56.260037    -151.171552
 1200.000   -1050.946843   -1050.846240   -1051.218284     194.551109     194.551000      69.056165      63.129389    -170.331942
 1300.000   -1050.946843   -1050.835185   -1051.249735     200.103285     200.103000      69.667165      70.066512    -190.067759
 1400.000   -1050.946843   -1050.824042   -1051.282041     205.284966     205.285000      70.164165      77.058856    -210.340097
 1500.000   -1050.946843   -1050.812827   -1051.315146     210.140130     210.140000      70.572165      84.096380    -231.113816
 1600.000   -1050.946843   -1050.801553   -1051.349001     214.705684     214.706000      70.912165      91.170928    -252.358167
 1700.000   -1050.946843   -1050.790229   -1051.383563     219.013540     219.013000      71.197165      98.276851    -274.046167
 1800.000   -1050.946843   -1050.778863   -1051.418793     223.090264     223.090000      71.438165     105.409130    -296.153345
 1900.000   -1050.946843   -1050.767462   -1051.454655     226.958147     226.958000      71.644165     112.563371    -318.657108
 2000.000   -1050.946843   -1050.756030   -1051.491119     230.637849     230.638000      71.822165     119.737066    -341.538633
