    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1288.665371   -1288.665358   -1288.665408      31.375500      30.993000       7.949204       0.008158      -0.023218
  100.000   -1288.665371   -1288.662737   -1288.676046      83.515306      83.517000      25.821204       1.652861      -6.698669
  200.000   -1288.665371   -1288.657270   -1288.691263     106.654737     106.654000      41.789204       5.083459     -16.247489
  300.000   -1288.665371   -1288.649679   -1288.709829     125.815755     125.816000      52.886204       9.846887     -27.897840
  400.000   -1288.665371   -1288.640559   -1288.731218     142.223573     142.222000      61.189204      15.569778     -41.319651
  500.000   -1288.665371   -1288.630285   -1288.755050     156.582570     156.583000      67.461204      22.016816     -56.274469
  600.000   -1288.665371   -1288.619143   -1288.781038     169.317886     169.317000      72.133204      29.008532     -72.582199
  700.000   -1288.665371   -1288.607358   -1288.808944     180.710330     180.710000      75.604204      36.403738     -90.093493
  800.000   -1288.665371   -1288.595093   -1288.838574     190.983453     190.984000      78.203204      44.100148    -108.686615
  900.000   -1288.665371   -1288.582466   -1288.869764     200.313742     200.314000      80.174204      52.023717    -128.258651
 1000.000   -1288.665371   -1288.569564   -1288.902376     208.842858     208.843000      81.693204      60.119851    -148.723008
 1100.000   -1288.665371   -1288.556447   -1288.936291     216.687189     216.687000      82.880204      68.350899    -170.005009
 1200.000   -1288.665371   -1288.543161   -1288.971407     223.940540     223.940000      83.822204      76.687997    -192.040650
 1300.000   -1288.665371   -1288.529740   -1289.007638     230.681365     230.681000      84.580204      85.109809    -214.775965
 1400.000   -1288.665371   -1288.516211   -1289.044906     236.972428     236.972000      85.198204      93.599392    -238.162008
 1500.000   -1288.665371   -1288.502592   -1289.083145     242.868542     242.868000      85.707204     102.145450    -262.157363
 1600.000   -1288.665371   -1288.488899   -1289.122294     248.413560     248.414000      86.131204     110.737945    -286.723752
 1700.000   -1288.665371   -1288.475144   -1289.162302     253.646186     253.646000      86.488204     119.369345    -311.829172
 1800.000   -1288.665371   -1288.461336   -1289.203122     258.598963     258.599000      86.790204     128.034003    -337.444130
 1900.000   -1288.665371   -1288.447484   -1289.244710     263.298572     263.298000      87.049204     136.726271    -363.541016
 2000.000   -1288.665371   -1288.433594   -1289.287028     267.769185     267.769000      87.272204     145.442385    -390.095984
