    T         Zero_Point      Enthalpy     Free_Energy       Full_S         S             Cp              H               G
    1.000   -1288.719219   -1288.719207   -1288.719256      30.747990      30.908000       7.949204       0.007530      -0.023218
  100.000   -1288.719219   -1288.716582   -1288.729772      82.768569      82.765000      25.674204       1.654744      -6.622113
  200.000   -1288.719219   -1288.711168   -1288.744852     105.685234     105.683000      41.458204       5.052083     -16.084964
  300.000   -1288.719219   -1288.703594   -1288.763256     124.795005     124.796000      53.072204       9.804844     -27.633658
  400.000   -1288.719219   -1288.694393   -1288.784491     141.343490     141.344000      62.002204      15.578563     -40.958833
  500.000   -1288.719219   -1288.683949   -1288.808202     155.940000     155.940000      68.743204      22.132278     -55.837722
  600.000   -1288.719219   -1288.672578   -1288.834108     168.936151     168.936000      73.712204      29.267694     -72.093996
  700.000   -1288.719219   -1288.660525   -1288.861974     180.587517     180.587000      77.360204      36.831072     -89.580190
  800.000   -1288.719219   -1288.647971   -1288.891604     191.102680     191.103000      80.063204      44.708832    -108.173311
  900.000   -1288.719219   -1288.635043   -1288.922831     200.655387     200.656000      82.096204      52.821282    -127.768566
 1000.000   -1288.719219   -1288.621831   -1288.955514     209.389419     209.389000      83.651204      61.111944    -148.277475
 1100.000   -1288.719219   -1288.608400   -1288.989531     217.421376     217.421000      84.860204      69.540031    -169.623483
 1200.000   -1288.719219   -1288.594798   -1289.024778     224.847291     224.848000      85.815204      78.075422    -191.741328
 1300.000   -1288.719219   -1288.581059   -1289.061166     231.747649     231.748000      86.581204      86.696782    -214.575162
 1400.000   -1288.719219   -1288.567210   -1289.098617     238.188005     238.188000      87.203204      95.387168    -238.076039
 1500.000   -1288.719219   -1288.553271   -1289.137060     244.222290     244.222000      87.714204     104.134029    -262.199406
 1600.000   -1288.719219   -1288.539258   -1289.176436     249.897229     249.897000      88.139204     112.927327    -286.908240
 1700.000   -1288.719219   -1288.525183   -1289.216690     255.251504     255.251000      88.496204     121.759530    -312.168027
 1800.000   -1288.719219   -1288.511056   -1289.257775     260.318689     260.318000      88.798204     130.624364    -337.949276
 1900.000   -1288.719219   -1288.496884   -1289.299645     265.126608     265.127000      89.056204     139.517436    -364.223119
 2000.000   -1288.719219   -1288.482674   -1289.342263     269.700347     269.700000      89.278204     148.434353    -390.966340
